TimeElapsed, Max, Min, Mean, Std, Number of items., Selected, Best Chromosomes
0,13.5,-5.99999982119,0.353798180819,0.0297036911469,2999,-1[48:136:228:358:0],[127-0][329-2][358-2][373-0];13.5,[143-1][276-0][285-1][364-2];12,[228-0][245-0][355-0][358-2];11.8000001907,[6-1][233-0][335-2][358-2];11,[115-0][159-0][308-1][358-2];9.38461494446,[50-0][168-0][171-2][358-2];8.25,[26-2][225-0][269-0][358-2];7.66666650772,[9-0][27-2][199-2][358-2];7.66666650772,[114-0][161-0][358-2][433-1];7.57692289352,[21-1][343-2][368-1][387-0];7,[187-0][189-2][337-2][419-0];6,[75-1][129-1][206-1][302-1];6,[4-0][252-1][293-2][435-2];6,[3-2][63-1][98-0][311-0];5
1,17,-8.99999993294,0.615456938744,0.0330726314439,2880,-1[48:136:228:358:0],[111-0][215-1][278-0][358-2];17,[127-0][329-2][358-2][373-0];13.5,[143-1][276-0][285-1][364-2];12,[228-0][245-0][355-0][358-2];11.8000001907,[6-1][233-0][335-2][358-2];11,[26-2][31-0][269-0][358-2];10,[127-0][329-0][358-2][373-0];9.67741966248,[115-0][159-0][308-1][358-2];9.38461494446,[48-2][109-1][236-2][309-1];9,[50-0][168-0][171-2][358-2];8.25,[13-0][77-1][358-2][433-0];8,[48-0][191-1][195-1][375-2];8,[9-0][27-2][199-2][358-2];7.66666650772,[26-2][225-0][269-0][358-2];7.66666650772
1,28,-6.99999968708,0.727532088757,0.0364687424211,2882,-1[48:136:228:358:0],[65-0][329-2][358-2][373-0];28,[111-0][215-1][278-0][358-2];17,[127-0][329-2][358-2][419-0];15.375,[127-0][324-0][329-2][358-2];13.8999996185,[114-0][161-2][319-1][358-2];13.6666669846,[127-0][329-2][358-2][373-0];13.5,[143-1][276-0][285-1][364-2];12,[228-0][245-0][355-0][358-2];11.8000001907,[65-0][86-1][171-0][358-2];11.3333330154,[6-1][233-0][335-2][358-2];11,[183-0][201-0][358-2][444-0];10,[26-2][31-0][269-0][358-2];10,[127-0][329-0][358-2][373-0];9.67741966248,[115-0][159-0][308-1][358-2];9.38461494446
1,28.3333339691,-5.99999982119,0.841163635254,0.0409859213017,2897,-1[48:136:228:358:0],[65-0][329-2][357-0][358-2];28.3333339691,[65-0][329-2][358-2][373-0];28,[183-0][201-0][358-2][444-1];19.3333339691,[111-0][215-1][278-0][358-2];17,[127-0][329-2][358-2][419-0];15.375,[127-0][324-0][329-2][358-2];13.8999996185,[114-0][161-2][319-1][358-2];13.6666669846,[127-0][329-2][358-2][373-0];13.5,[45-2][96-0][149-0][358-2];13.4444446564,[13-1][329-2][335-2][358-2];13,[143-1][276-0][285-1][364-2];12,[228-0][245-0][355-0][358-2];11.8000001907,[65-0][86-1][171-0][358-2];11.3333330154,[6-1][233-0][335-2][358-2];11
1,33,-8,1.09924280643,0.05384565642,2873,-1[48:136:228:358:0],[188-1][204-0][280-1][358-2];33,[6-1][40-0][308-1][358-2];29,[65-0][329-2][357-0][358-2];28.3333339691,[65-0][329-2][358-2][373-0];28,[27-0][329-2][358-2][373-0];27.5,[183-0][201-0][358-2][444-1];19.3333339691,[111-0][215-1][278-0][358-2];17,[47-2][77-0][323-0][358-2];16.0769233704,[127-0][329-2][358-2][419-0];15.375,[10-1][19-0][326-0][358-2];14.75,[90-0][329-2][358-2][373-0];14.5,[79-0][189-2][269-0][358-2];14.3333330154,[127-0][324-0][329-2][358-2];13.8999996185,[114-0][161-2][319-1][358-2];13.6666669846
1,33,-8,1.39574027061,0.0667388399892,2881,-1[48:136:228:358:0],[188-1][204-0][280-1][358-2];33,[47-2][77-0][358-2][361-0];32,[6-1][40-0][308-1][358-2];29,[65-0][329-2][357-0][358-2];28.3333339691,[65-0][329-2][358-2][373-0];28,[27-0][329-2][358-2][373-0];27.5,[117-0][241-0][358-2][433-1];26,[183-0][201-0][358-2][429-2];26,[70-2][169-0][273-1][358-2];25,[81-0][117-0][358-2][433-1];23,[27-0][358-2][370-0][444-2];22,[1-2][77-0][358-2][433-1];21,[47-2][320-0][323-1][358-2];21,[183-0][201-0][358-2][444-1];19.3333339691
1,53,-8.99999993294,1.94149935246,0.0840533613029,2844,-1[48:136:228:358:0],[127-0][291-1][329-2][358-2];53,[188-1][204-0][280-1][358-2];33,[47-2][77-0][358-2][361-0];32,[6-1][40-0][308-1][358-2];29,[65-0][329-2][357-0][358-2];28.3333339691,[65-0][329-2][358-2][373-0];28,[27-0][329-2][358-2][373-0];27.5,[117-0][241-0][358-2][433-1];26,[183-0][201-0][358-2][429-2];26,[70-2][169-0][273-1][358-2];25,[81-0][117-0][358-2][433-1];23,[45-2][96-1][149-0][358-2];22.5,[51-0][329-2][354-1][358-2];22.3333339691,[27-0][358-2][370-0][444-2];22
1,53,-6.99999968708,2.55658578873,0.0994972280905,2844,-1[48:136:228:358:0],[127-0][291-1][329-2][358-2];53,[47-2][289-0][293-2][358-2];41,[20-0][291-1][329-2][358-2];39,[188-1][204-0][280-1][358-2];33,[47-2][77-0][358-2][361-0];32,[6-1][40-0][308-1][358-2];29,[65-0][329-2][357-0][358-2];28.3333339691,[65-0][329-2][358-2][373-0];28,[188-1][204-1][269-1][358-2];28,[77-1][140-0][358-2][433-1];28,[27-0][245-2][358-2][432-1];28,[27-0][329-2][358-2][373-0];27.5,[45-2][96-1][218-1][358-2];27.5,[117-0][241-0][358-2][433-1];26
2,53,-8.99999993294,3.66881799698,0.125648255173,2821,-1[48:136:228:358:0],[127-0][291-1][329-2][358-2];53,[47-2][289-0][293-2][358-2];41,[20-0][291-1][329-2][358-2];39,[49-2][358-2][373-0][409-0];37.3333320618,[183-0][201-0][278-0][358-2];37,[65-0][322-0][329-2][358-2];37,[188-1][204-0][280-1][358-2];33,[6-1][217-0][358-2][433-0];33,[47-2][77-0][358-2][361-0];32,[41-0][269-1][272-2][358-2];30,[47-2][77-0][358-2][399-0];29.6666660309,[6-1][40-0][308-1][358-2];29,[47-2][108-0][147-0][358-2];28.75,[49-2][346-0][358-2][373-0];28.6666660309
2,53,-6.99999968708,4.43230676651,0.137981458871,2803,-1[48:136:228:358:0],[127-0][291-1][329-2][358-2];53,[45-2][96-1][326-0][358-2];41,[47-2][289-0][293-2][358-2];41,[20-0][291-1][329-2][358-2];39,[49-2][358-2][373-0][409-0];37.3333320618,[65-0][322-0][329-2][358-2];37,[183-0][201-0][278-0][358-2];37,[291-1][325-0][329-2][358-2];36,[188-1][204-0][280-1][358-2];33,[6-1][217-0][358-2][433-0];33,[47-2][77-0][358-2][361-0];32,[41-0][269-1][272-2][358-2];30,[47-2][77-0][358-2][399-0];29.6666660309,[6-1][40-0][308-1][358-2];29
2,53,-6.49999975786,5.75869703293,0.15436275766,2767,-1[48:136:228:358:0],[127-0][291-1][329-2][358-2];53,[45-2][96-1][326-0][358-2];41,[47-2][289-0][293-2][358-2];41,[47-2][108-0][358-2][448-2];40,[20-0][291-1][329-2][358-2];39,[46-2][244-2][358-2][363-0];38,[27-0][127-1][326-0][358-2];38,[49-2][358-2][373-0][409-0];37.3333320618,[65-0][322-0][329-2][358-2];37,[183-0][201-0][278-0][358-2];37,[291-1][325-0][329-2][358-2];36,[49-2][346-0][358-2][401-0];36,[315-0][358-2][370-0][444-2];35.3333320618,[13-0][90-1][118-1][358-2];35
