[151-2][447-2];5,[26-2][480-2];4,[56-2][137-2];3.33333,[313-2][336-2];3.33333,[372-2][523-2];3,[222-2][505-2];3,[97-2][510-2];3
[151-2][447-2];5,[26-2][480-2];4,[336-2][539-2];4,[313-2][336-2];3.33333,[56-2][137-2];3.33333,[222-2][505-2];3,[372-2][523-2];3
[151-2][447-2];5,[26-2][480-2];4,[372-2][561-2];4,[336-2][539-2];4,[313-2][336-2];3.33333,[56-2][137-2];3.33333,[97-2][510-2];3
[151-2][447-2];5,[336-2][539-2];4,[26-2][480-2];4,[372-2][561-2];4,[56-2][137-2];3.33333,[313-2][336-2];3.33333,[33-2][116-2];3
[151-2][447-2];5,[336-2][539-2];4,[26-2][480-2];4,[372-2][561-2];4,[313-2][336-2];3.33333,[56-2][137-2];3.33333,[222-2][505-2];3
[151-2][447-2];5,[26-2][480-2];4,[372-2][561-2];4,[336-2][539-2];4,[313-2][336-2];3.33333,[56-2][137-2];3.33333,[372-2][523-2];3
[151-2][447-2];5,[26-2][480-2];4,[336-2][539-2];4,[372-2][561-2];4,[59-2][319-2];4,[313-2][336-2];3.33333,[56-2][137-2];3.33333
[151-2][447-2];5,[336-2][539-2];4,[26-2][480-2];4,[372-2][561-2];4,[59-2][319-2];4,[56-2][137-2];3.33333,[313-2][336-2];3.33333
[401-2][523-2];7,[151-2][447-2];5,[26-2][480-2];4,[336-2][539-2];4,[59-2][319-2];4,[372-2][561-2];4,[56-2][98-2];3.5
[401-2][523-2];7,[56-2][561-2];6,[151-2][447-2];5,[372-2][561-2];4,[336-2][539-2];4,[26-2][480-2];4,[59-2][319-2];4
[401-2][523-2];7,[56-2][561-2];6,[151-2][447-2];5,[26-2][480-2];4,[59-2][319-2];4,[372-2][561-2];4,[336-2][539-2];4
[401-2][523-2];7,[56-2][561-2];6,[151-2][447-2];5,[59-2][319-2];4,[26-2][480-2];4,[313-2][476-2];4,[336-2][539-2];4
[401-2][523-2];7,[56-2][561-2];6,[151-2][447-2];5,[70-2][320-2];5,[59-2][319-2];4,[336-2][539-2];4,[26-2][480-2];4
[401-2][523-2];7,[56-2][561-2];6,[151-2][447-2];5,[70-2][320-2];5,[59-2][319-2];4,[26-2][480-2];4,[313-2][476-2];4
[401-2][523-2];7,[56-2][561-2];6,[151-2][447-2];5,[70-2][320-2];5,[59-2][319-2];4,[26-2][480-2];4,[372-2][561-2];4
[401-2][523-2];7,[56-2][561-2];6,[151-2][447-2];5,[70-2][320-2];5,[59-2][319-2];4,[26-2][480-2];4,[372-2][561-2];4
[401-2][523-2];7,[56-2][561-2];6,[151-2][447-2];5,[70-2][320-2];5,[372-2][561-2];4,[313-2][476-2];4,[336-2][539-2];4
[401-2][523-2];7,[56-2][561-2];6,[70-2][320-2];5,[151-2][447-2];5,[336-2][539-2];4,[26-2][480-2];4,[313-2][476-2];4
[401-2][523-2];7,[56-2][561-2];6,[151-2][447-2];5,[70-2][320-2];5,[372-2][561-2];4,[336-2][539-2];4,[313-2][476-2];4
[401-2][523-2];7,[56-2][561-2];6,[151-2][447-2];5,[70-2][320-2];5,[336-2][539-2];4,[26-2][480-2];4,[59-2][319-2];4
[401-2][523-2];7,[56-2][561-2];6,[151-2][447-2];5,[70-2][320-2];5,[372-2][561-2];4,[59-2][319-2];4,[198-2][539-2];4
[401-2][523-2];7,[56-2][561-2];6,[56-2][281-2];6,[70-2][320-2];5,[151-2][447-2];5,[372-2][561-2];4,[59-2][319-2];4
[401-2][523-2];7,[56-2][561-2];6,[56-2][281-2];6,[151-2][447-2];5,[70-2][320-2];5,[372-2][561-2];4,[26-2][480-2];4
[401-2][523-2];7,[56-2][561-2];6,[56-2][281-2];6,[151-2][447-2];5,[70-2][320-2];5,[372-2][561-2];4,[26-2][480-2];4
[401-2][523-2];7,[56-2][561-2];6,[56-2][281-2];6,[151-2][447-2];5,[70-2][320-2];5,[372-2][561-2];4,[26-2][480-2];4
[401-2][523-2];7,[56-2][561-2];6,[56-2][281-2];6,[151-2][447-2];5,[70-2][320-2];5,[372-2][561-2];4,[26-2][480-2];4
[401-2][523-2];7,[56-2][561-2];6,[56-2][281-2];6,[70-2][320-2];5,[151-2][447-2];5,[372-2][561-2];4,[26-2][480-2];4
[401-2][523-2];7,[56-2][561-2];6,[56-2][281-2];6,[151-2][447-2];5,[70-2][320-2];5,[372-2][561-2];4,[56-2][137-2];3.33333
[401-2][523-2];7,[56-2][561-2];6,[56-2][281-2];6,[151-2][447-2];5,[70-2][320-2];5,[504-2][243-2];5,[372-2][561-2];4
[401-2][523-2];7,[56-2][561-2];6,[56-2][281-2];6,[151-2][447-2];5,[504-2][243-2];5,[70-2][320-2];5,[372-2][561-2];4
[401-2][523-2];7,[56-2][561-2];6,[56-2][281-2];6,[151-2][447-2];5,[70-2][320-2];5,[504-2][243-2];5,[372-2][561-2];4
[401-2][523-2];7,[56-2][561-2];6,[56-2][281-2];6,[151-2][447-2];5,[504-2][243-2];5,[70-2][320-2];5,[372-2][561-2];4
[401-2][523-2];7,[56-2][281-2];6,[56-2][561-2];6,[70-2][320-2];5,[151-2][447-2];5,[504-2][243-2];5,[56-2][438-2];3
[401-2][523-2];7,[56-2][561-2];6,[56-2][281-2];6,[151-2][447-2];5,[243-2][504-2];5,[70-2][320-2];5,[504-2][243-2];5
[401-2][523-2];7,[56-2][281-2];6,[56-2][561-2];6,[151-2][447-2];5,[243-2][504-2];5,[70-2][320-2];5,[56-2][560-2];3
[401-2][523-2];7,[56-2][561-2];6,[56-2][281-2];6,[151-2][447-2];5,[243-2][504-2];5,[70-2][320-2];5,[48-2][561-2];3
[401-2][523-2];7,[56-2][561-2];6,[56-2][281-2];6,[70-2][320-2];5,[151-2][447-2];5,[243-2][504-2];5,[430-2][561-2];3.5
[401-2][523-2];7,[56-2][561-2];6,[56-2][281-2];6,[243-2][504-2];5,[151-2][447-2];5,[70-2][320-2];5,[56-2][157-2];3
[401-2][523-2];7,[56-2][281-2];6,[56-2][561-2];6,[70-2][320-2];5,[243-2][504-2];5,[151-2][447-2];5,[56-2][560-2];3
[401-2][523-2];7,[56-2][281-2];6,[56-2][561-2];6,[243-2][504-2];5,[151-2][447-2];5,[70-2][320-2];5,[362-2][561-2];2.5
[401-2][523-2];7,[56-2][561-2];6,[56-2][281-2];6,[70-2][320-2];5,[151-2][447-2];5,[243-2][504-2];5,[430-2][561-2];3.5
[401-2][523-2];7,[56-2][561-2];6,[56-2][281-2];6,[243-2][504-2];5,[151-2][447-2];5,[70-2][320-2];5,[387-2][561-2];2.5
[401-2][523-2];7,[56-2][561-2];6,[56-2][281-2];6,[70-2][320-2];5,[151-2][447-2];5,[243-2][504-2];5,[35-2][151-2];4
[401-2][523-2];7,[56-2][561-2];6,[56-2][281-2];6,[70-2][320-2];5,[151-2][447-2];5,[243-2][504-2];5,[35-2][151-2];4
[151-2][447-2];5,[26-2][480-2];4,[56-2][137-2];3.33333,[222-2][505-2];3,[33-2][116-2];3,[372-2][523-2];3,[112-2][538-2];3
[151-2][447-2];5,[26-2][480-2];4,[56-2][137-2];3.33333,[90-2][563-2];3,[372-2][523-2];3,[112-2][538-2];3,[33-2][116-2];3
[151-2][447-2];5,[319-2][523-2];4,[151-2][290-2];4,[26-2][480-2];4,[56-2][137-2];3.33333,[201-2][535-2];3,[112-2][538-2];3
[151-2][447-2];5,[151-2][290-2];4,[26-2][480-2];4,[319-2][523-2];4,[76-2][438-2];4,[56-2][137-2];3.33333,[201-2][535-2];3
[151-2][447-2];5,[26-2][480-2];4,[151-2][290-2];4,[319-2][523-2];4,[76-2][438-2];4,[254-2][566-2];3.5,[56-2][137-2];3.33333
[151-2][447-2];5,[26-2][480-2];4,[151-2][290-2];4,[76-2][438-2];4,[319-2][523-2];4,[254-2][566-2];3.5,[37-2][526-2];3
[151-2][447-2];5,[26-2][480-2];4,[151-2][290-2];4,[76-2][438-2];4,[319-2][523-2];4,[254-2][566-2];3.5,[254-2][523-2];3
[151-2][447-2];5,[26-2][480-2];4,[151-2][290-2];4,[319-2][523-2];4,[76-2][438-2];4,[254-2][566-2];3.5,[254-2][523-2];3
[151-2][447-2];5,[26-2][480-2];4,[151-2][290-2];4,[319-2][523-2];4,[198-2][535-2];4,[76-2][438-2];4,[254-2][566-2];3.5
[151-2][447-2];5,[151-2][290-2];4,[198-2][535-2];4,[319-2][523-2];4,[26-2][480-2];4,[76-2][438-2];4,[425-2][523-2];4
[151-2][447-2];5,[26-2][480-2];4,[151-2][290-2];4,[319-2][523-2];4,[76-2][438-2];4,[198-2][535-2];4,[254-2][566-2];3.5
[151-2][447-2];5,[26-2][480-2];4,[319-2][523-2];4,[76-2][438-2];4,[151-2][290-2];4,[198-2][535-2];4,[254-2][566-2];3.5
[151-2][447-2];5,[319-2][523-2];4,[26-2][480-2];4,[151-2][290-2];4,[198-2][535-2];4,[76-2][438-2];4,[254-2][566-2];3.5
[151-2][447-2];5,[198-2][535-2];4,[26-2][480-2];4,[319-2][523-2];4,[151-2][290-2];4,[76-2][438-2];4,[254-2][566-2];3.5
[151-2][447-2];5,[76-2][438-2];4,[26-2][480-2];4,[151-2][290-2];4,[319-2][523-2];4,[198-2][535-2];4,[254-2][566-2];3.5
[151-2][447-2];5,[151-2][290-2];4,[26-2][480-2];4,[319-2][523-2];4,[198-2][535-2];4,[76-2][438-2];4,[254-2][566-2];3.5
[151-2][447-2];5,[151-2][290-2];4,[26-2][480-2];4,[319-2][523-2];4,[76-2][438-2];4,[198-2][535-2];4,[254-2][566-2];3.5
[151-2][447-2];5,[198-2][535-2];4,[76-2][438-2];4,[319-2][523-2];4,[151-2][290-2];4,[26-2][480-2];4,[254-2][566-2];3.5
[151-2][447-2];5,[26-2][480-2];4,[151-2][290-2];4,[319-2][523-2];4,[198-2][535-2];4,[76-2][438-2];4,[254-2][566-2];3.5
[151-2][447-2];5,[26-2][480-2];4,[151-2][290-2];4,[151-2][182-2];4,[319-2][523-2];4,[76-2][438-2];4,[198-2][535-2];4
[151-2][447-2];5,[270-2][523-2];4,[26-2][480-2];4,[56-2][137-2];3.33333,[222-2][505-2];3,[33-2][116-2];3,[372-2][523-2];3
[151-2][447-2];5,[270-2][523-2];4,[26-2][480-2];4,[56-2][137-2];3.33333,[372-2][523-2];3,[328-2][374-2];3,[384-2][471-2];3
[151-2][447-2];5,[421-2][545-2];5,[270-2][523-2];4,[26-2][480-2];4,[56-2][137-2];3.33333,[372-2][523-2];3,[33-2][467-2];3
[421-2][545-2];5,[151-2][447-2];5,[270-2][523-2];4,[139-2][151-2];4,[26-2][480-2];4,[56-2][137-2];3.33333,[372-2][523-2];3
[421-2][545-2];5,[151-2][447-2];5,[261-2][392-2];4,[270-2][523-2];4,[139-2][151-2];4,[26-2][480-2];4,[56-2][137-2];3.33333
[261-2][545-2];6,[421-2][545-2];5,[151-2][447-2];5,[261-2][392-2];4,[270-2][523-2];4,[139-2][151-2];4,[26-2][480-2];4
[261-2][545-2];6,[151-2][447-2];5,[421-2][545-2];5,[261-2][392-2];4,[270-2][523-2];4,[139-2][151-2];4,[328-2][374-2];3
[491-2][523-2];7,[261-2][545-2];6,[421-2][545-2];5,[151-2][447-2];5,[270-2][523-2];4,[139-2][151-2];4,[261-2][392-2];4
[491-2][523-2];7,[261-2][545-2];6,[187-2][328-2];6,[151-2][447-2];5,[421-2][545-2];5,[139-2][151-2];4,[261-2][392-2];4
[491-2][523-2];7,[261-2][545-2];6,[187-2][328-2];6,[151-2][447-2];5,[421-2][545-2];5,[261-2][392-2];4,[270-2][523-2];4
[491-2][523-2];7,[261-2][545-2];6,[187-2][328-2];6,[151-2][447-2];5,[421-2][545-2];5,[139-2][151-2];4,[261-2][392-2];4
[491-2][523-2];7,[478-2][545-2];7,[261-2][545-2];6,[187-2][328-2];6,[421-2][545-2];5,[151-2][447-2];5,[270-2][523-2];4
[478-2][545-2];7,[491-2][523-2];7,[187-2][328-2];6,[261-2][545-2];6,[151-2][447-2];5,[421-2][545-2];5,[270-2][523-2];4
[478-2][545-2];7,[491-2][523-2];7,[261-2][545-2];6,[187-2][328-2];6,[151-2][447-2];5,[421-2][545-2];5,[270-2][523-2];4
[491-2][523-2];7,[478-2][545-2];7,[261-2][545-2];6,[187-2][328-2];6,[151-2][447-2];5,[421-2][545-2];5,[102-2][545-2];4
[491-2][523-2];7,[478-2][545-2];7,[261-2][545-2];6,[187-2][328-2];6,[151-2][447-2];5,[421-2][545-2];5,[151-2][338-2];4
[491-2][523-2];7,[478-2][545-2];7,[306-2][545-2];7,[187-2][328-2];6,[261-2][545-2];6,[421-2][545-2];5,[151-2][447-2];5
[491-2][523-2];7,[478-2][545-2];7,[306-2][545-2];7,[187-2][328-2];6,[261-2][545-2];6,[421-2][545-2];5,[151-2][447-2];5
[491-2][523-2];7,[478-2][545-2];7,[306-2][545-2];7,[187-2][328-2];6,[261-2][545-2];6,[151-2][447-2];5,[151-2][504-2];5
[491-2][523-2];7,[478-2][545-2];7,[306-2][545-2];7,[187-2][328-2];6,[261-2][545-2];6,[151-2][447-2];5,[151-2][504-2];5
[491-2][523-2];7,[478-2][545-2];7,[306-2][545-2];7,[187-2][328-2];6,[261-2][545-2];6,[421-2][545-2];5,[151-2][447-2];5
[491-2][523-2];7,[478-2][545-2];7,[306-2][545-2];7,[187-2][328-2];6,[261-2][545-2];6,[151-2][447-2];5,[151-2][504-2];5
[491-2][523-2];7,[306-2][545-2];7,[478-2][545-2];7,[187-2][328-2];6,[261-2][545-2];6,[151-2][447-2];5,[421-2][545-2];5
[478-2][545-2];7,[491-2][523-2];7,[306-2][545-2];7,[187-2][328-2];6,[261-2][545-2];6,[151-2][447-2];5,[421-2][545-2];5
[491-2][523-2];7,[478-2][545-2];7,[306-2][545-2];7,[261-2][545-2];6,[187-2][328-2];6,[151-2][447-2];5,[343-2][545-2];4.5
[491-2][523-2];7,[306-2][545-2];7,[478-2][545-2];7,[187-2][328-2];6,[261-2][545-2];6,[151-2][447-2];5,[151-2][328-2];3
[491-2][523-2];7,[306-2][545-2];7,[478-2][545-2];7,[187-2][328-2];6,[261-2][545-2];6,[151-2][447-2];5,[255-2][523-2];4
[151-2][447-2];5,[26-2][480-2];4,[56-2][137-2];3.33333,[372-2][523-2];3,[201-2][466-2];3,[280-2][535-2];3,[33-2][116-2];3
[151-2][447-2];5,[26-2][480-2];4,[56-2][214-2];4,[63-2][475-2];4,[1-2][139-2];4,[56-2][137-2];3.33333,[201-2][466-2];3
[151-2][447-2];5,[26-2][480-2];4,[63-2][475-2];4,[56-2][214-2];4,[1-2][139-2];4,[56-2][137-2];3.33333,[22-2][27-2];3
[151-2][447-2];5,[26-2][480-2];4,[63-2][475-2];4,[1-2][139-2];4,[56-2][214-2];4,[118-2][423-2];3.5,[56-2][137-2];3.33333
[151-2][447-2];5,[56-2][214-2];4,[63-2][475-2];4,[1-2][139-2];4,[26-2][480-2];4,[112-2][353-2];4,[118-2][423-2];3.5
[151-2][447-2];5,[1-2][139-2];4,[26-2][480-2];4,[56-2][214-2];4,[63-2][475-2];4,[112-2][353-2];4,[118-2][423-2];3.5
[111-2][475-2];6,[151-2][447-2];5,[26-2][480-2];4,[63-2][475-2];4,[56-2][214-2];4,[1-2][139-2];4,[112-2][353-2];4
[111-2][475-2];6,[151-2][447-2];5,[151-2][353-2];4,[56-2][214-2];4,[1-2][139-2];4,[26-2][480-2];4,[63-2][475-2];4
[111-2][475-2];6,[151-2][447-2];5,[139-2][151-2];4,[1-2][139-2];4,[56-2][214-2];4,[26-2][480-2];4,[63-2][475-2];4
[111-2][475-2];6,[151-2][447-2];5,[56-2][214-2];4,[1-2][139-2];4,[26-2][480-2];4,[63-2][475-2];4,[151-2][353-2];4
[111-2][475-2];6,[151-2][447-2];5,[56-2][214-2];4,[151-2][353-2];4,[26-2][480-2];4,[63-2][475-2];4,[1-2][139-2];4
[111-2][475-2];6,[151-2][447-2];5,[56-2][214-2];4,[151-2][353-2];4,[26-2][480-2];4,[63-2][475-2];4,[136-2][530-2];4
[111-2][475-2];6,[151-2][447-2];5,[56-2][214-2];4,[63-2][475-2];4,[151-2][353-2];4,[26-2][480-2];4,[63-2][534-2];4
[111-2][475-2];6,[216-2][534-2];6,[151-2][447-2];5,[63-2][475-2];4,[151-2][353-2];4,[56-2][214-2];4,[26-2][480-2];4
[111-2][475-2];6,[216-2][534-2];6,[151-2][447-2];5,[151-2][353-2];4,[56-2][214-2];4,[26-2][480-2];4,[63-2][534-2];4
[111-2][475-2];6,[216-2][534-2];6,[151-2][447-2];5,[56-2][214-2];4,[151-2][353-2];4,[63-2][475-2];4,[63-2][534-2];4
[111-2][475-2];6,[216-2][534-2];6,[151-2][447-2];5,[151-2][353-2];4,[56-2][214-2];4,[63-2][475-2];4,[26-2][480-2];4
