[366-2][441-2][495-2];4,[36-2][221-2][383-2];3,[99-2][259-2][289-2];3,[245-2][379-2][382-2];3,[159-2][195-2][552-2];3,[24-2][190-2][233-2];3,[304-2][430-2][443-2];2,[31-2][485-2][532-2];2,[97-2][295-2][496-2];2,[150-2][163-2][178-2];2
[366-2][441-2][495-2];4,[36-2][221-2][383-2];3,[31-2][259-2][289-2];3,[24-2][190-2][233-2];3,[128-2][373-2][537-2];3,[54-2][376-2][379-2];3,[99-2][259-2][289-2];3,[245-2][379-2][382-2];3,[159-2][195-2][552-2];3,[157-2][249-2][464-2];2
[366-2][441-2][495-2];4,[24-2][190-2][233-2];3,[99-2][259-2][289-2];3,[31-2][85-2][252-2];3,[31-2][259-2][289-2];3,[233-2][464-2][537-2];3,[245-2][379-2][382-2];3,[8-2][215-2][488-2];3,[159-2][195-2][552-2];3,[128-2][373-2][537-2];3
[366-2][441-2][495-2];4,[36-2][221-2][383-2];3,[245-2][379-2][382-2];3,[99-2][259-2][289-2];3,[233-2][464-2][537-2];3,[31-2][259-2][289-2];3,[159-2][195-2][552-2];3,[31-2][85-2][252-2];3,[2-2][259-2][289-2];3,[24-2][190-2][233-2];3
[159-2][195-2][336-2];6,[31-2][241-2][416-2];4,[366-2][441-2][495-2];4,[159-2][209-2][552-2];3.25,[54-2][376-2][379-2];3,[99-2][259-2][289-2];3,[159-2][195-2][552-2];3,[2-2][259-2][289-2];3,[233-2][464-2][537-2];3,[24-2][190-2][233-2];3
[159-2][195-2][336-2];6,[31-2][241-2][416-2];4,[366-2][441-2][495-2];4,[159-2][209-2][552-2];3.25,[99-2][259-2][289-2];3,[159-2][195-2][552-2];3,[31-2][259-2][289-2];3,[32-2][195-2][552-2];3,[233-2][464-2][537-2];3,[345-2][400-2][403-2];3
[159-2][195-2][336-2];6,[366-2][441-2][495-2];4,[31-2][241-2][416-2];4,[159-2][209-2][552-2];3.25,[99-2][259-2][289-2];3,[31-2][259-2][289-2];3,[36-2][393-2][537-2];3,[159-2][195-2][552-2];3,[17-2][393-2][537-2];3,[233-2][464-2][537-2];3
[159-2][195-2][336-2];6,[31-2][241-2][416-2];4,[366-2][441-2][495-2];4,[159-2][209-2][552-2];3.25,[31-2][259-2][289-2];3,[17-2][393-2][537-2];3,[345-2][373-2][485-2];3,[32-2][195-2][552-2];3,[159-2][195-2][495-2];3,[159-2][195-2][493-2];3
[159-2][195-2][336-2];6,[366-2][441-2][495-2];4,[31-2][241-2][416-2];4,[159-2][209-2][552-2];3.25,[99-2][259-2][289-2];3,[159-2][195-2][493-2];3,[195-2][336-2][495-2];3,[159-2][195-2][495-2];3,[31-2][259-2][289-2];3,[17-2][393-2][537-2];3
[159-2][195-2][336-2];6,[70-2][389-2][525-2];6,[366-2][441-2][495-2];4,[31-2][241-2][416-2];4,[159-2][209-2][552-2];3.25,[289-2][464-2][496-2];3,[159-2][195-2][495-2];3,[366-2][431-2][502-2];3,[159-2][195-2][552-2];3,[200-2][252-2][314-2];3
[159-2][195-2][336-2];6,[70-2][389-2][525-2];6,[40-2][289-2][311-2];5,[366-2][441-2][495-2];4,[31-2][241-2][416-2];4,[114-2][209-2][537-2];4,[159-2][209-2][552-2];3.25,[31-2][259-2][289-2];3,[32-2][195-2][552-2];3,[114-2][317-2][491-2];3
[159-2][195-2][336-2];6,[70-2][389-2][525-2];6,[31-2][366-2][502-2];5,[40-2][289-2][311-2];5,[159-2][195-2][534-2];5,[366-2][441-2][495-2];4,[114-2][209-2][537-2];4,[31-2][241-2][416-2];4,[159-2][209-2][552-2];3.25,[199-2][425-2][495-2];3
[199-2][277-2][460-2];8,[70-2][389-2][525-2];6,[159-2][195-2][336-2];6,[31-2][366-2][502-2];5,[40-2][289-2][311-2];5,[159-2][195-2][534-2];5,[366-2][441-2][495-2];4,[114-2][209-2][537-2];4,[31-2][241-2][416-2];4,[159-2][209-2][552-2];3.25
[199-2][277-2][460-2];8,[159-2][195-2][336-2];6,[70-2][389-2][525-2];6,[31-2][366-2][502-2];5,[159-2][195-2][534-2];5,[40-2][289-2][311-2];5,[31-2][241-2][416-2];4,[114-2][209-2][537-2];4,[366-2][441-2][495-2];4,[114-2][289-2][311-2];3.33333
[199-2][277-2][460-2];8,[70-2][389-2][525-2];6,[159-2][195-2][336-2];6,[114-2][389-2][537-2];6,[209-2][289-2][485-2];6,[31-2][366-2][502-2];5,[199-2][277-2][431-2];5,[159-2][195-2][534-2];5,[40-2][289-2][311-2];5,[114-2][209-2][537-2];4
[199-2][277-2][460-2];8,[159-2][195-2][336-2];6,[209-2][289-2][485-2];6,[70-2][389-2][525-2];6,[114-2][389-2][537-2];6,[199-2][277-2][431-2];5,[31-2][366-2][502-2];5,[40-2][289-2][311-2];5,[159-2][195-2][534-2];5,[31-2][241-2][416-2];4
[199-2][277-2][460-2];8,[209-2][289-2][485-2];6,[114-2][389-2][537-2];6,[159-2][195-2][336-2];6,[31-2][366-2][552-2];6,[70-2][389-2][525-2];6,[199-2][277-2][431-2];5,[40-2][289-2][311-2];5,[159-2][195-2][534-2];5,[31-2][366-2][502-2];5
[199-2][277-2][460-2];8,[209-2][289-2][485-2];6,[159-2][195-2][336-2];6,[31-2][366-2][552-2];6,[70-2][389-2][525-2];6,[114-2][389-2][537-2];6,[31-2][366-2][502-2];5,[159-2][195-2][534-2];5,[40-2][289-2][311-2];5,[199-2][277-2][431-2];5
[199-2][277-2][460-2];8,[159-2][195-2][336-2];6,[209-2][289-2][485-2];6,[114-2][389-2][537-2];6,[70-2][389-2][525-2];6,[31-2][366-2][552-2];6,[31-2][366-2][502-2];5,[199-2][277-2][431-2];5,[40-2][289-2][311-2];5,[159-2][195-2][534-2];5
[199-2][277-2][460-2];8,[70-2][389-2][525-2];6,[159-2][195-2][336-2];6,[31-2][366-2][552-2];6,[209-2][289-2][485-2];6,[114-2][389-2][537-2];6,[40-2][289-2][311-2];5,[159-2][195-2][534-2];5,[31-2][366-2][502-2];5,[199-2][277-2][431-2];5
[199-2][277-2][460-2];8,[70-2][389-2][525-2];6,[31-2][366-2][552-2];6,[159-2][195-2][336-2];6,[209-2][289-2][485-2];6,[114-2][389-2][537-2];6,[199-2][277-2][431-2];5,[31-2][366-2][502-2];5,[40-2][289-2][311-2];5,[159-2][195-2][534-2];5
[199-2][277-2][460-2];8,[70-2][389-2][525-2];6,[114-2][389-2][537-2];6,[159-2][195-2][336-2];6,[31-2][366-2][552-2];6,[209-2][289-2][485-2];6,[199-2][277-2][431-2];5,[31-2][366-2][502-2];5,[40-2][289-2][311-2];5,[159-2][195-2][534-2];5
[199-2][277-2][460-2];8,[159-2][195-2][336-2];6,[209-2][289-2][485-2];6,[31-2][366-2][552-2];6,[70-2][389-2][525-2];6,[114-2][389-2][537-2];6,[199-2][277-2][431-2];5,[31-2][366-2][502-2];5,[159-2][195-2][534-2];5,[40-2][289-2][311-2];5
[199-2][277-2][460-2];8,[70-2][389-2][525-2];6,[159-2][195-2][336-2];6,[31-2][366-2][552-2];6,[209-2][289-2][485-2];6,[114-2][389-2][537-2];6,[199-2][320-2][389-2];5.5,[159-2][195-2][534-2];5,[31-2][366-2][502-2];5,[199-2][277-2][431-2];5
