[43-2][338-2][437-2][573-2];4,[38-2][76-2][280-2][493-2];3,[66-2][356-2][476-2][517-2];3,[215-2][360-2][398-2][433-2];3,[87-2][131-2][155-2][320-2];2,[247-2][435-2][475-2][572-2];2,[115-2][280-2][447-2][509-2];2,[2-2][31-2][69-2][577-2];2,[21-2][60-2][204-2][227-2];2,[26-2][162-2][427-2][458-2];2,[434-2][456-2][492-2][567-2];2,[185-2][483-2][498-2][572-2];2,[169-2][320-2][365-2][463-2];2,[54-2][204-2][289-2][357-2];2
[43-2][338-2][437-2][573-2];4,[66-2][356-2][476-2][517-2];3,[38-2][76-2][280-2][493-2];3,[215-2][360-2][398-2][433-2];3,[247-2][435-2][457-2][572-2];2,[17-2][159-2][278-2][388-2];2,[104-2][362-2][470-2][493-2];2,[54-2][204-2][474-2][568-2];2,[87-2][131-2][155-2][320-2];2,[120-2][166-2][185-2][572-2];2,[54-2][204-2][289-2][357-2];2,[169-2][320-2][365-2][463-2];2,[185-2][483-2][498-2][572-2];2,[434-2][456-2][492-2][567-2];2
[43-2][338-2][437-2][573-2];4,[38-2][76-2][280-2][493-2];3,[215-2][360-2][398-2][433-2];3,[66-2][356-2][476-2][517-2];3,[54-2][204-2][289-2][357-2];2,[185-2][483-2][498-2][572-2];2,[49-2][163-2][435-2][572-2];2,[434-2][456-2][492-2][567-2];2,[247-2][435-2][475-2][572-2];2,[38-2][72-2][128-2][311-2];2,[215-2][360-2][398-2][572-2];2,[14-2][198-2][320-2][456-2];2,[6-2][343-2][375-2][397-2];2,[2-2][190-2][270-2][321-2];2
[43-2][277-2][338-2][573-2];4,[43-2][338-2][437-2][573-2];4,[38-2][76-2][280-2][493-2];3,[66-2][356-2][476-2][517-2];3,[215-2][360-2][398-2][433-2];3,[215-2][398-2][445-2][572-2];3,[49-2][163-2][435-2][572-2];2,[247-2][435-2][475-2][572-2];2,[116-2][320-2][397-2][476-2];2,[38-2][76-2][243-2][280-2];2,[168-2][483-2][498-2][572-2];2,[14-2][198-2][320-2][456-2];2,[215-2][343-2][397-2][507-2];2,[120-2][166-2][185-2][572-2];2
[43-2][338-2][437-2][573-2];4,[43-2][277-2][338-2][573-2];4,[38-2][76-2][280-2][493-2];3,[215-2][360-2][398-2][433-2];3,[38-2][76-2][307-2][347-2];3,[66-2][356-2][476-2][517-2];3,[215-2][398-2][445-2][572-2];3,[247-2][435-2][475-2][572-2];2,[191-2][223-2][254-2][348-2];2,[204-2][425-2][489-2][578-2];2,[120-2][343-2][347-2][572-2];2,[49-2][163-2][435-2][572-2];2,[38-2][217-2][224-2][493-2];2,[434-2][456-2][492-2][567-2];2
[43-2][277-2][338-2][573-2];4,[43-2][338-2][437-2][573-2];4,[83-2][115-2][116-2][425-2];4,[38-2][76-2][307-2][347-2];3,[215-2][398-2][445-2][572-2];3,[66-2][356-2][476-2][517-2];3,[38-2][76-2][280-2][572-2];3,[38-2][76-2][280-2][493-2];3,[43-2][235-2][277-2][338-2];3,[215-2][360-2][398-2][433-2];3,[247-2][435-2][475-2][572-2];2,[224-2][246-2][400-2][430-2];2,[56-2][118-2][120-2][576-2];2,[38-2][76-2][384-2][530-2];2
[204-2][425-2][489-2][545-2];5,[43-2][277-2][338-2][573-2];4,[83-2][115-2][116-2][425-2];4,[43-2][338-2][437-2][573-2];4,[66-2][360-2][398-2][433-2];4,[76-2][201-2][280-2][458-2];4,[153-2][215-2][445-2][572-2];4,[66-2][356-2][476-2][517-2];3,[43-2][338-2][437-2][485-2];3,[38-2][76-2][280-2][493-2];3,[215-2][398-2][445-2][572-2];3,[43-2][271-2][338-2][446-2];3,[215-2][360-2][398-2][433-2];3,[38-2][76-2][280-2][572-2];3
[171-2][260-2][338-2][572-2];6,[204-2][425-2][489-2][545-2];5,[43-2][338-2][437-2][573-2];4,[43-2][277-2][338-2][573-2];4,[83-2][115-2][116-2][425-2];4,[66-2][360-2][398-2][433-2];4,[76-2][201-2][280-2][458-2];4,[153-2][215-2][445-2][572-2];4,[43-2][271-2][338-2][446-2];3,[99-2][338-2][437-2][573-2];3,[66-2][356-2][476-2][517-2];3,[171-2][351-2][375-2][397-2];3,[38-2][76-2][280-2][493-2];3,[38-2][76-2][280-2][572-2];3
[171-2][260-2][338-2][572-2];6,[204-2][425-2][489-2][545-2];5,[43-2][338-2][437-2][573-2];4,[43-2][277-2][338-2][573-2];4,[83-2][115-2][116-2][425-2];4,[66-2][360-2][398-2][433-2];4,[76-2][201-2][280-2][458-2];4,[153-2][215-2][445-2][572-2];4,[171-2][351-2][375-2][397-2];3,[66-2][356-2][476-2][517-2];3,[215-2][271-2][338-2][446-2];3,[43-2][271-2][338-2][446-2];3,[99-2][338-2][437-2][573-2];3,[38-2][76-2][280-2][493-2];3
[171-2][260-2][338-2][572-2];6,[204-2][425-2][489-2][545-2];5,[66-2][360-2][398-2][433-2];4,[153-2][215-2][445-2][572-2];4,[43-2][338-2][437-2][573-2];4,[43-2][277-2][338-2][573-2];4,[76-2][201-2][280-2][458-2];4,[83-2][115-2][116-2][425-2];4,[215-2][271-2][338-2][446-2];3,[43-2][226-2][277-2][369-2];3,[171-2][351-2][375-2][397-2];3,[43-2][271-2][338-2][446-2];3,[99-2][338-2][437-2][573-2];3,[280-2][356-2][476-2][517-2];3
[171-2][260-2][338-2][572-2];6,[204-2][425-2][489-2][545-2];5,[153-2][215-2][445-2][572-2];4,[83-2][115-2][116-2][425-2];4,[76-2][201-2][280-2][458-2];4,[43-2][277-2][338-2][573-2];4,[43-2][338-2][437-2][573-2];4,[66-2][360-2][398-2][433-2];4,[43-2][271-2][338-2][446-2];3,[171-2][351-2][375-2][397-2];3,[99-2][338-2][437-2][573-2];3,[38-2][76-2][280-2][493-2];3,[43-2][226-2][277-2][369-2];3,[215-2][271-2][338-2][446-2];3
