148,263,319,Requested,Created,Diff,Diff%
0,0,0,972,1003,-31,-2
1,0,0,737,716,21,3
2,0,0,148,153,-5,-2
0,1,0,278,245,33,12
1,1,0,211,224,-13,-5
2,1,0,43,42,1,2
0,2,0,21,17,4,19
1,2,0,16,11,5,31
2,2,0,13,15,-2,-14
0,0,1,800,791,9,1
1,0,1,607,621,-14,-1
2,0,1,125,120,5,4
0,1,1,229,226,3,1
1,1,1,173,183,-10,-5
2,1,1,37,27,10,27
0,2,1,18,10,8,44
1,2,1,14,9,5,36
2,2,1,13,14,-1,-7
0,0,2,174,185,-11,-5
1,0,2,136,141,-5,-3
2,0,2,44,45,-1,-1
0,1,2,51,52,-1,-1
1,1,2,40,40,0,0
2,1,2,15,13,2,13
0,2,2,13,13,0,0
1,2,2,13,13,0,0
2,2,2,63,71,-8,-12

NUM,SUM,MAX,MIN
24,4,33,-31
24,4,44,-14
