TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 5251.98,Top
0,102.593352466,0.524158963827,21.711309433,1.05560206786,179,-1[149-2][264-2][320-2];5251.98097041,[151-2][264-2];102.593352466,[33-2][264-2];95.0120654275,[175-2][264-2];90.8685399752
0,104.578355792,1.22150324787,37.4928207397,1.88947278695,146,-1[149-2][264-2][320-2];5251.98097041,[121-2][264-2];104.578355792,[192-2][264-2];104.224807011,[151-2][264-2];102.593352466
0,128.412478498,1.22150324787,65.9547576904,2.08098300978,108,-1[149-2][264-2][320-2];5251.98097041,[264-2][456-2];128.412478498,[264-2][313-2];128.05712443,[264-2][572-2];121.377034722
0,128.412478498,0.488258606982,79.0417098999,1.79548918243,89,-1[149-2][264-2][320-2];5251.98097041,[264-2][456-2];128.412478498,[264-2][313-2];128.05712443,[264-2][572-2];121.377034722
0,128.412478498,0.488258606982,84.7850952148,1.70472858729,73,-1[149-2][264-2][320-2];5251.98097041,[264-2][456-2];128.412478498,[264-2][313-2];128.05712443,[264-2][572-2];121.377034722
0,128.412478498,0.488258606982,88.263885498,0.957702203132,75,-1[149-2][264-2][320-2];5251.98097041,[264-2][456-2];128.412478498,[264-2][313-2];128.05712443,[264-2][572-2];121.377034722
0,128.412478498,0.488258606982,91.1511535645,1.07131435048,76,-1[149-2][264-2][320-2];5251.98097041,[264-2][456-2];128.412478498,[264-2][313-2];128.05712443,[264-2][572-2];121.377034722
0,128.412478498,0.488258606982,87.5480804443,1.46441645973,90,-1[149-2][264-2][320-2];5251.98097041,[264-2][456-2];128.412478498,[264-2][313-2];128.05712443,[264-2][572-2];121.377034722
0,128.412478498,0.488258606982,86.9013824463,1.26675162641,93,-1[149-2][264-2][320-2];5251.98097041,[264-2][456-2];128.412478498,[264-2][313-2];128.05712443,[264-2][572-2];121.377034722
0,1101.83519675,0.929137352453,91.0239944458,0.8605644237,100,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2];1101.83519675,[264-2][456-2];128.412478498,[264-2][313-2];128.05712443
0,1101.83519675,0.488258606982,135.007110596,9.82621900588,97,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2];1101.83519675,[264-2][456-2];128.412478498,[264-2][313-2];128.05712443
0,1101.83519675,0.488258606982,453.080352783,23.5764977554,75,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2];1101.83519675,[264-2][456-2];128.412478498,[264-2][313-2];128.05712443
