[151-2][264-2];102.593,[33-2][264-2];95.0121,[175-2][264-2];90.8685,[17-2][264-2];90.5611,[74-2][264-2];81.1688,[173-2][264-2];77.3334,[245-2][477-2];47.0368
[121-2][264-2];104.578,[192-2][264-2];104.225,[151-2][264-2];102.593,[245-2][281-2];98.5503,[264-2][277-2];96.5084,[33-2][264-2];95.0121,[245-2][264-2];94.9265
[264-2][456-2];128.412,[264-2][313-2];128.057,[264-2][572-2];121.377,[264-2][504-2];117.874,[199-2][264-2];115.258,[39-2][264-2];111.417,[264-2][383-2];107.116
[264-2][456-2];128.412,[264-2][313-2];128.057,[264-2][572-2];121.377,[264-2][504-2];117.874,[199-2][264-2];115.258,[264-2][333-2];113.309,[39-2][264-2];111.417
[264-2][456-2];128.412,[264-2][313-2];128.057,[264-2][572-2];121.377,[264-2][504-2];117.874,[199-2][264-2];115.258,[264-2][333-2];113.309,[39-2][264-2];111.417
[264-2][456-2];128.412,[264-2][313-2];128.057,[264-2][572-2];121.377,[264-2][504-2];117.874,[199-2][264-2];115.258,[264-2][333-2];113.309,[39-2][264-2];111.417
[264-2][456-2];128.412,[264-2][313-2];128.057,[264-2][572-2];121.377,[264-2][504-2];117.874,[199-2][264-2];115.258,[264-2][333-2];113.309,[39-2][264-2];111.417
[264-2][456-2];128.412,[264-2][313-2];128.057,[264-2][572-2];121.377,[264-2][504-2];117.874,[199-2][264-2];115.258,[264-2][333-2];113.309,[39-2][264-2];111.417
[264-2][456-2];128.412,[264-2][313-2];128.057,[264-2][572-2];121.377,[264-2][504-2];117.874,[199-2][264-2];115.258,[264-2][333-2];113.309,[39-2][264-2];111.417
[149-2][264-2];1101.84,[264-2][456-2];128.412,[264-2][313-2];128.057,[264-2][572-2];121.377,[264-2][504-2];117.874,[199-2][264-2];115.258,[264-2][333-2];113.309
[149-2][264-2];1101.84,[264-2][456-2];128.412,[264-2][313-2];128.057,[264-2][572-2];121.377,[264-2][504-2];117.874,[199-2][264-2];115.258,[39-2][264-2];111.417
[149-2][264-2];1101.84,[264-2][456-2];128.412,[264-2][313-2];128.057,[264-2][572-2];121.377,[264-2][504-2];117.874,[199-2][264-2];115.258,[264-2][333-2];113.309
[149-2][264-2];1101.84,[264-2][456-2];128.412,[264-2][313-2];128.057,[264-2][572-2];121.377,[264-2][504-2];117.874,[199-2][264-2];115.258,[54-2][264-2];107.783
[149-2][264-2];1101.84,[264-2][456-2];128.412,[264-2][313-2];128.057,[264-2][572-2];121.377,[264-2][504-2];117.874,[199-2][264-2];115.258,[157-2][264-2];99.1576
[149-2][264-2];1101.84,[264-2][456-2];128.412,[264-2][313-2];128.057,[264-2][572-2];121.377,[264-2][504-2];117.874,[199-2][264-2];115.258,[233-2][264-2];111.733
[149-2][264-2];1101.84,[264-2][456-2];128.412,[264-2][313-2];128.057,[264-2][572-2];121.377,[264-2][504-2];117.874,[199-2][264-2];115.258,[264-2][413-2];104.285
[149-2][264-2];1101.84,[264-2][456-2];128.412,[264-2][313-2];128.057,[21-2][264-2];124.031,[264-2][572-2];121.377,[264-2][504-2];117.874,[199-2][264-2];115.258
[149-2][264-2];1101.84,[264-2][456-2];128.412,[264-2][313-2];128.057,[21-2][264-2];124.031,[264-2][572-2];121.377,[264-2][504-2];117.874,[199-2][264-2];115.258
[149-2][264-2];1101.84,[90-2][264-2];134.94,[264-2][456-2];128.412,[264-2][313-2];128.057,[21-2][264-2];124.031,[264-2][572-2];121.377,[264-2][504-2];117.874
[149-2][264-2];1101.84,[90-2][264-2];134.94,[264-2][456-2];128.412,[264-2][313-2];128.057,[21-2][264-2];124.031,[264-2][572-2];121.377,[70-2][264-2];104.901
[149-2][264-2];1101.84,[90-2][264-2];134.94,[264-2][456-2];128.412,[264-2][313-2];128.057,[21-2][264-2];124.031,[264-2][572-2];121.377,[66-2][264-2];103.196
[149-2][264-2];1101.84,[90-2][264-2];134.94,[264-2][456-2];128.412,[264-2][313-2];128.057,[21-2][264-2];124.031,[264-2][572-2];121.377,[264-2][437-2];105.371
[149-2][264-2];1101.84,[90-2][264-2];134.94,[264-2][456-2];128.412,[264-2][313-2];128.057,[21-2][264-2];124.031,[264-2][572-2];121.377,[264-2][562-2];98.3483
[149-2][264-2];1101.84,[90-2][264-2];134.94,[264-2][456-2];128.412,[264-2][313-2];128.057,[21-2][264-2];124.031,[264-2][572-2];121.377,[264-2][401-2];114.57
[149-2][264-2];1101.84,[90-2][264-2];134.94,[264-2][456-2];128.412,[264-2][313-2];128.057,[21-2][264-2];124.031,[264-2][572-2];121.377,[264-2][504-2];117.874
[149-2][264-2];1101.84,[90-2][264-2];134.94,[264-2][456-2];128.412,[264-2][313-2];128.057,[21-2][264-2];124.031,[264-2][572-2];121.377,[264-2][373-2];95.3443
[149-2][264-2];1101.84,[90-2][264-2];134.94,[264-2][456-2];128.412,[264-2][313-2];128.057,[21-2][264-2];124.031,[264-2][572-2];121.377,[39-2][264-2];111.417
[149-2][264-2];1101.84,[90-2][264-2];134.94,[264-2][456-2];128.412,[264-2][313-2];128.057,[21-2][264-2];124.031,[264-2][572-2];121.377,[54-2][264-2];107.783
[149-2][264-2];1101.84,[90-2][264-2];134.94,[264-2][456-2];128.412,[264-2][313-2];128.057,[21-2][264-2];124.031,[264-2][572-2];121.377,[264-2][403-2];101.717
[179-2][363-2];64.5307,[178-2][363-2];57.6953,[363-2][424-2];55.0457,[78-2][116-2];54.9935,[151-2][315-2];54.7183,[281-2][363-2];51.5931,[280-2][438-2];46.3024
[363-2][438-2];68.1622,[179-2][363-2];64.5307,[104-2][363-2];59.1118,[178-2][363-2];57.6953,[363-2][424-2];55.0457,[78-2][116-2];54.9935,[151-2][315-2];54.7183
[30-2][363-2];75.4731,[363-2][438-2];68.1622,[363-2][464-2];66.1428,[179-2][363-2];64.5307,[104-2][363-2];59.1118,[178-2][363-2];57.6953,[280-2][363-2];57.5299
[30-2][363-2];75.4731,[363-2][438-2];68.1622,[363-2][464-2];66.1428,[179-2][363-2];64.5307,[186-2][363-2];62.0027,[104-2][363-2];59.1118,[178-2][363-2];57.6953
[178-2][320-2];91.2376,[30-2][363-2];75.4731,[363-2][445-2];69.2075,[363-2][438-2];68.1622,[363-2][464-2];66.1428,[179-2][363-2];64.5307,[186-2][363-2];62.0027
[320-2][363-2];114.708,[245-2][281-2];98.5503,[178-2][320-2];91.2376,[30-2][363-2];75.4731,[363-2][450-2];72.9827,[363-2][445-2];69.2075,[363-2][438-2];68.1622
[320-2][363-2];114.708,[245-2][320-2];105.462,[245-2][281-2];98.5503,[178-2][320-2];91.2376,[33-2][363-2];87.0901,[320-2][446-2];85.2398,[320-2][450-2];75.7219
[320-2][363-2];114.708,[245-2][320-2];105.462,[245-2][281-2];98.5503,[320-2][467-2];92.6133,[178-2][320-2];91.2376,[244-2][320-2];88.4674,[33-2][363-2];87.0901
[320-2][363-2];114.708,[245-2][320-2];105.462,[320-2][424-2];103.199,[245-2][281-2];98.5503,[320-2][467-2];92.6133,[178-2][320-2];91.2376,[244-2][320-2];88.4674
[320-2][363-2];114.708,[245-2][320-2];105.462,[320-2][424-2];103.199,[245-2][281-2];98.5503,[320-2][467-2];92.6133,[178-2][320-2];91.2376,[28-2][320-2];89.6878
[320-2][363-2];114.708,[245-2][320-2];105.462,[320-2][424-2];103.199,[245-2][281-2];98.5503,[33-2][354-2];93.9317,[320-2][467-2];92.6133,[178-2][320-2];91.2376
[320-2][363-2];114.708,[245-2][320-2];105.462,[320-2][424-2];103.199,[245-2][281-2];98.5503,[33-2][354-2];93.9317,[320-2][467-2];92.6133,[178-2][320-2];91.2376
[320-2][363-2];114.708,[245-2][320-2];105.462,[320-2][424-2];103.199,[245-2][281-2];98.5503,[33-2][354-2];93.9317,[320-2][467-2];92.6133,[178-2][320-2];91.2376
[320-2][363-2];114.708,[320-2][376-2];113.932,[245-2][320-2];105.462,[320-2][424-2];103.199,[245-2][281-2];98.5503,[33-2][354-2];93.9317,[320-2][467-2];92.6133
[320-2][363-2];114.708,[320-2][376-2];113.932,[245-2][320-2];105.462,[320-2][424-2];103.199,[245-2][281-2];98.5503,[131-2][320-2];97.7946,[33-2][354-2];93.9317
[320-2][363-2];114.708,[320-2][376-2];113.932,[306-2][363-2];108.782,[245-2][320-2];105.462,[320-2][424-2];103.199,[245-2][281-2];98.5503,[131-2][320-2];97.7946
[320-2][363-2];114.708,[320-2][376-2];113.932,[306-2][363-2];108.782,[245-2][320-2];105.462,[320-2][424-2];103.199,[245-2][281-2];98.5503,[131-2][320-2];97.7946
[320-2][363-2];114.708,[320-2][376-2];113.932,[306-2][363-2];108.782,[245-2][320-2];105.462,[320-2][424-2];103.199,[245-2][281-2];98.5503,[131-2][320-2];97.7946
[320-2][363-2];114.708,[320-2][376-2];113.932,[306-2][363-2];108.782,[245-2][320-2];105.462,[320-2][424-2];103.199,[245-2][281-2];98.5503,[131-2][320-2];97.7946
[320-2][363-2];114.708,[320-2][376-2];113.932,[306-2][363-2];108.782,[245-2][320-2];105.462,[320-2][424-2];103.199,[245-2][281-2];98.5503,[320-2][387-2];94.6279
[320-2][363-2];114.708,[320-2][376-2];113.932,[306-2][363-2];108.782,[245-2][320-2];105.462,[320-2][424-2];103.199,[245-2][281-2];98.5503,[320-2][387-2];94.6279
[320-2][363-2];114.708,[320-2][376-2];113.932,[306-2][363-2];108.782,[245-2][320-2];105.462,[320-2][424-2];103.199,[245-2][281-2];98.5503,[320-2][387-2];94.6279
[264-2][363-2];118.555,[320-2][363-2];114.708,[320-2][376-2];113.932,[306-2][363-2];108.782,[245-2][320-2];105.462,[320-2][424-2];103.199,[245-2][281-2];98.5503
[149-2][320-2];154.239,[264-2][363-2];118.555,[320-2][363-2];114.708,[320-2][376-2];113.932,[306-2][363-2];108.782,[245-2][320-2];105.462,[320-2][424-2];103.199
[149-2][320-2];154.239,[264-2][363-2];118.555,[320-2][363-2];114.708,[320-2][376-2];113.932,[306-2][363-2];108.782,[245-2][320-2];105.462,[320-2][424-2];103.199
[149-2][320-2];154.239,[264-2][363-2];118.555,[320-2][363-2];114.708,[320-2][376-2];113.932,[306-2][363-2];108.782,[245-2][320-2];105.462,[320-2][448-2];104.726
[264-2][320-2];1752.99,[149-2][320-2];154.239,[264-2][363-2];118.555,[320-2][363-2];114.708,[320-2][376-2];113.932,[306-2][363-2];108.782,[245-2][320-2];105.462
[264-2][320-2];1752.99,[149-2][320-2];154.239,[264-2][363-2];118.555,[320-2][363-2];114.708,[320-2][376-2];113.932,[306-2][363-2];108.782,[245-2][320-2];105.462
[264-2][320-2];1752.99,[149-2][320-2];154.239,[264-2][363-2];118.555,[320-2][363-2];114.708,[320-2][376-2];113.932,[306-2][363-2];108.782,[245-2][320-2];105.462
[264-2][320-2];1752.99,[149-2][320-2];154.239,[264-2][363-2];118.555,[320-2][363-2];114.708,[320-2][376-2];113.932,[306-2][363-2];108.782,[151-2][264-2];102.593
[264-2][320-2];1752.99,[149-2][320-2];154.239,[264-2][363-2];118.555,[320-2][363-2];114.708,[320-2][376-2];113.932,[264-2][369-2];113.826,[306-2][363-2];108.782
[264-2][320-2];1752.99,[149-2][320-2];154.239,[264-2][363-2];118.555,[320-2][363-2];114.708,[320-2][376-2];113.932,[264-2][369-2];113.826,[264-2][512-2];111.462
[264-2][320-2];1752.99,[149-2][320-2];154.239,[264-2][363-2];118.555,[320-2][363-2];114.708,[320-2][376-2];113.932,[264-2][369-2];113.826,[264-2][300-2];98.1613
[264-2][320-2];1752.99,[149-2][320-2];154.239,[264-2][572-2];121.377,[264-2][363-2];118.555,[320-2][363-2];114.708,[320-2][376-2];113.932,[264-2][369-2];113.826
[264-2][320-2];1752.99,[149-2][320-2];154.239,[264-2][572-2];121.377,[264-2][363-2];118.555,[320-2][363-2];114.708,[320-2][376-2];113.932,[54-2][264-2];107.783
[264-2][320-2];1752.99,[149-2][320-2];154.239,[264-2][572-2];121.377,[264-2][363-2];118.555,[320-2][363-2];114.708,[320-2][376-2];113.932,[264-2][563-2];88.7163
[264-2][320-2];1752.99,[149-2][320-2];154.239,[264-2][572-2];121.377,[264-2][363-2];118.555,[320-2][363-2];114.708,[320-2][376-2];113.932,[264-2][398-2];111.202
[264-2][320-2];1752.99,[149-2][320-2];154.239,[264-2][325-2];143.301,[264-2][572-2];121.377,[264-2][363-2];118.555,[320-2][363-2];114.708,[320-2][376-2];113.932
[264-2][320-2];1752.99,[149-2][320-2];154.239,[264-2][325-2];143.301,[264-2][572-2];121.377,[264-2][363-2];118.555,[320-2][363-2];114.708,[264-2][305-2];113.21
[264-2][320-2];1752.99,[149-2][320-2];154.239,[264-2][325-2];143.301,[264-2][572-2];121.377,[264-2][363-2];118.555,[320-2][363-2];114.708,[196-2][264-2];100.464
[264-2][320-2];1752.99,[149-2][320-2];154.239,[264-2][325-2];143.301,[264-2][572-2];121.377,[264-2][363-2];118.555,[320-2][363-2];114.708,[320-2][513-2];95.7137
[264-2][320-2];1752.99,[149-2][320-2];154.239,[264-2][325-2];143.301,[264-2][572-2];121.377,[264-2][363-2];118.555,[320-2][363-2];114.708,[264-2][401-2];114.57
[264-2][320-2];1752.99,[149-2][320-2];154.239,[264-2][325-2];143.301,[264-2][572-2];121.377,[264-2][363-2];118.555,[320-2][363-2];114.708,[264-2][305-2];113.21
[264-2][320-2];1752.99,[149-2][320-2];154.239,[264-2][325-2];143.301,[264-2][572-2];121.377,[264-2][363-2];118.555,[320-2][363-2];114.708,[264-2][525-2];103.036
[264-2][320-2];1752.99,[149-2][320-2];154.239,[264-2][325-2];143.301,[264-2][572-2];121.377,[264-2][363-2];118.555,[320-2][363-2];114.708,[264-2][509-2];99.1831
[264-2][320-2];1752.99,[149-2][320-2];154.239,[264-2][325-2];143.301,[264-2][572-2];121.377,[264-2][363-2];118.555,[320-2][363-2];114.708,[264-2][495-2];96.3716
[264-2][320-2];1752.99,[149-2][320-2];154.239,[264-2][325-2];143.301,[264-2][572-2];121.377,[264-2][363-2];118.555,[320-2][363-2];114.708,[363-2][178-2];57.6953
[264-2][320-2];1752.99,[149-2][320-2];154.239,[264-2][325-2];143.301,[264-2][572-2];121.377,[264-2][363-2];118.555,[320-2][363-2];114.708,[264-2][417-2];101.187
[264-2][320-2];1752.99,[149-2][320-2];154.239,[264-2][325-2];143.301,[264-2][572-2];121.377,[264-2][363-2];118.555,[320-2][363-2];114.708,[264-2][439-2];92.9738
