TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 5251.98097041,Top
0,171.585723337,0,48.0410652161,0.997049186083,298,-1[149-2][264-2][320-2];5251.98097041,[16-2][117-2][320-2];171.585723337,[234-2][245-2][495-2];136.510256582,[6-2][320-2][577-2];126.70992037
0,1508.34157847,0,65.2200241089,4.3726262999,293,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][555-2];1508.34157847,[16-2][117-2][320-2];171.585723337,[252-2][320-2][577-2];147.888982647
0,1813.65086012,0.145437067876,155.751937866,11.6139870741,282,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][387-2];1813.65086012,[264-2][320-2][553-2];1752.98632505,[264-2][320-2][352-2];1717.41016777
0,2888.97218048,11.407008541,812.855834961,20.5797206627,186,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][507-2];2888.97218048,[243-2][264-2][320-2];2578.7446278,[264-2][320-2][434-2];2329.97244089
0,2888.97218048,0.145437067876,1385.93261719,25.1506248505,116,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][507-2];2888.97218048,[243-2][264-2][320-2];2578.7446278,[264-2][320-2][434-2];2329.97244089
0,2888.97218048,55.5291216884,1496.50366211,20.313929554,100,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][507-2];2888.97218048,[243-2][264-2][320-2];2578.7446278,[264-2][320-2][434-2];2329.97244089
0,2888.97218048,13.243814866,1483.2277832,26.5234184327,125,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][507-2];2888.97218048,[188-2][264-2][320-2];2627.33526091,[243-2][264-2][320-2];2578.7446278
1,2888.97218048,13.243814866,1488.96704102,27.4543661197,134,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][507-2];2888.97218048,[188-2][264-2][320-2];2627.33526091,[243-2][264-2][320-2];2578.7446278
1,2888.97218048,6.36653268516,1494.70202637,30.1277362347,145,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][507-2];2888.97218048,[188-2][264-2][320-2];2627.33526091,[243-2][264-2][320-2];2578.7446278
1,3699.35660378,15.9951248203,1682.01013184,31.6341035336,134,-1[149-2][264-2][320-2];5251.98097041,[264-2][296-2][320-2];3699.35660378,[195-2][264-2][320-2];3355.51898001,[264-2][320-2][507-2];2888.97218048
1,3699.35660378,22.0406339916,1670.37915039,33.9020540678,139,-1[149-2][264-2][320-2];5251.98097041,[264-2][296-2][320-2];3699.35660378,[195-2][264-2][320-2];3355.51898001,[264-2][320-2][507-2];2888.97218048
1,3699.35660378,32.0260774951,1811.12658691,47.7106784884,136,-1[149-2][264-2][320-2];5251.98097041,[264-2][296-2][320-2];3699.35660378,[195-2][264-2][320-2];3355.51898001,[264-2][320-2][515-2];2998.01389059
1,3699.35660378,66.9286647606,1922.88623047,38.8368609649,131,-1[149-2][264-2][320-2];5251.98097041,[264-2][296-2][320-2];3699.35660378,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164
1,3699.35660378,67.7208560762,1938.16833496,45.1050805255,140,-1[149-2][264-2][320-2];5251.98097041,[264-2][296-2][320-2];3699.35660378,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164
1,3699.35660378,39.9239092056,2009.3092041,38.4105970627,133,-1[149-2][264-2][320-2];5251.98097041,[264-2][296-2][320-2];3699.35660378,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164
1,3699.35660378,54.5692316621,2006.97485352,28.8339807595,129,-1[149-2][264-2][320-2];5251.98097041,[264-2][296-2][320-2];3699.35660378,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164
1,3699.35660378,7.38842088981,2163.83227539,35.4414714142,102,-1[149-2][264-2][320-2];5251.98097041,[264-2][296-2][320-2];3699.35660378,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164
1,3699.35660378,31.1722814755,2156.36157227,44.3105640485,115,-1[149-2][264-2][320-2];5251.98097041,[264-2][296-2][320-2];3699.35660378,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164
1,3699.35660378,8.46464025045,2188.94848633,39.8886476129,109,-1[149-2][264-2][320-2];5251.98097041,[264-2][296-2][320-2];3699.35660378,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164
1,3699.35660378,0.438889920504,2260.35375977,27.5294133463,104,-1[149-2][264-2][320-2];5251.98097041,[264-2][296-2][320-2];3699.35660378,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164
1,3699.35660378,0.438889920504,2194.82177734,26.9209547973,119,-1[149-2][264-2][320-2];5251.98097041,[264-2][296-2][320-2];3699.35660378,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164
1,3699.35660378,28.4628029466,2224.06274414,29.0266735805,108,-1[149-2][264-2][320-2];5251.98097041,[264-2][296-2][320-2];3699.35660378,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164
1,3699.35660378,72.7339614422,2279.88793945,31.0634873622,105,-1[149-2][264-2][320-2];5251.98097041,[264-2][296-2][320-2];3699.35660378,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164
1,3699.35660378,21.6877847229,2310.63208008,27.9321258724,107,-1[149-2][264-2][320-2];5251.98097041,[264-2][296-2][320-2];3699.35660378,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164
1,3699.35660378,6.77309016785,2256.22192383,33.0984299007,120,-1[149-2][264-2][320-2];5251.98097041,[264-2][296-2][320-2];3699.35660378,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164
1,3699.35660378,47.5331565788,2135.16772461,44.9081629764,132,-1[149-2][264-2][320-2];5251.98097041,[264-2][296-2][320-2];3699.35660378,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164
