[16-2][117-2][320-2];171.586,[234-2][245-2][495-2];136.51,[6-2][320-2][577-2];126.71,[106-2][320-2][458-2];126.278,[38-2][117-2][320-2];121.086,[240-2][300-2][320-2];117.762,[252-2][364-2][567-2];116.034,[264-2][365-2][387-2];112.198,[106-2][110-2][320-2];106.121,[360-2][415-2][510-2];105.454
[264-2][320-2][555-2];1508.34,[16-2][117-2][320-2];171.586,[252-2][320-2][577-2];147.889,[38-2][136-2][320-2];145.119,[234-2][245-2][495-2];136.51,[176-2][320-2][442-2];128.693,[16-2][177-2][320-2];127.804,[177-2][320-2][577-2];127.021,[6-2][320-2][577-2];126.71,[106-2][320-2][458-2];126.278
[264-2][320-2][387-2];1813.65,[264-2][320-2][553-2];1752.99,[264-2][320-2][352-2];1717.41,[264-2][320-2][540-2];1599.64,[264-2][320-2][420-2];1546.39,[264-2][320-2][555-2];1508.34,[264-2][320-2][428-2];1459.01,[264-2][320-2][325-2];1440.05,[16-2][117-2][320-2];171.586,[234-2][245-2][320-2];155.195
[264-2][320-2][507-2];2888.97,[243-2][264-2][320-2];2578.74,[264-2][320-2][434-2];2329.97,[264-2][320-2][495-2];2075.11,[264-2][320-2][433-2];1992.43,[2-2][264-2][320-2];1954.69,[264-2][320-2][516-2];1941.71,[264-2][274-2][320-2];1846.64,[264-2][320-2][387-2];1813.65,[264-2][320-2][545-2];1804
[264-2][320-2][507-2];2888.97,[243-2][264-2][320-2];2578.74,[264-2][320-2][434-2];2329.97,[264-2][320-2][495-2];2075.11,[264-2][320-2][433-2];1992.43,[2-2][264-2][320-2];1954.69,[264-2][320-2][516-2];1941.71,[264-2][320-2][437-2];1907.3,[264-2][320-2][525-2];1869.43,[264-2][274-2][320-2];1846.64
[264-2][320-2][507-2];2888.97,[243-2][264-2][320-2];2578.74,[264-2][320-2][434-2];2329.97,[264-2][320-2][398-2];2172.83,[264-2][320-2][495-2];2075.11,[264-2][320-2][433-2];1992.43,[2-2][264-2][320-2];1954.69,[264-2][320-2][516-2];1941.71,[264-2][320-2][437-2];1907.3,[264-2][320-2][525-2];1869.43
[264-2][320-2][507-2];2888.97,[188-2][264-2][320-2];2627.34,[243-2][264-2][320-2];2578.74,[264-2][320-2][576-2];2575.93,[264-2][320-2][434-2];2329.97,[264-2][320-2][398-2];2172.83,[264-2][320-2][495-2];2075.11,[264-2][320-2][433-2];1992.43,[2-2][264-2][320-2];1954.69,[264-2][320-2][516-2];1941.71
[264-2][320-2][507-2];2888.97,[188-2][264-2][320-2];2627.34,[243-2][264-2][320-2];2578.74,[264-2][320-2][576-2];2575.93,[155-2][264-2][320-2];2532.89,[264-2][266-2][320-2];2421.6,[221-2][264-2][320-2];2337.13,[264-2][320-2][434-2];2329.97,[49-2][264-2][320-2];2327.11,[264-2][320-2][398-2];2172.83
[264-2][320-2][507-2];2888.97,[188-2][264-2][320-2];2627.34,[243-2][264-2][320-2];2578.74,[264-2][320-2][576-2];2575.93,[155-2][264-2][320-2];2532.89,[264-2][266-2][320-2];2421.6,[221-2][264-2][320-2];2337.13,[264-2][320-2][434-2];2329.97,[49-2][264-2][320-2];2327.11,[211-2][264-2][320-2];2220.61
[264-2][296-2][320-2];3699.36,[195-2][264-2][320-2];3355.52,[264-2][320-2][507-2];2888.97,[188-2][264-2][320-2];2627.34,[243-2][264-2][320-2];2578.74,[264-2][320-2][576-2];2575.93,[264-2][320-2][365-2];2544.91,[155-2][264-2][320-2];2532.89,[264-2][320-2][521-2];2438.96,[264-2][266-2][320-2];2421.6
[264-2][296-2][320-2];3699.36,[195-2][264-2][320-2];3355.52,[264-2][320-2][507-2];2888.97,[188-2][264-2][320-2];2627.34,[243-2][264-2][320-2];2578.74,[264-2][320-2][576-2];2575.93,[264-2][320-2][365-2];2544.91,[155-2][264-2][320-2];2532.89,[264-2][320-2][521-2];2438.96,[264-2][266-2][320-2];2421.6
[264-2][296-2][320-2];3699.36,[195-2][264-2][320-2];3355.52,[264-2][320-2][515-2];2998.01,[264-2][320-2][507-2];2888.97,[188-2][264-2][320-2];2627.34,[243-2][264-2][320-2];2578.74,[264-2][320-2][576-2];2575.93,[264-2][320-2][365-2];2544.91,[155-2][264-2][320-2];2532.89,[264-2][320-2][521-2];2438.96
[264-2][296-2][320-2];3699.36,[195-2][264-2][320-2];3355.52,[56-2][264-2][320-2];3282.69,[264-2][320-2][515-2];2998.01,[264-2][320-2][507-2];2888.97,[264-2][320-2][412-2];2639.07,[188-2][264-2][320-2];2627.34,[243-2][264-2][320-2];2578.74,[264-2][320-2][576-2];2575.93,[264-2][320-2][365-2];2544.91
[264-2][296-2][320-2];3699.36,[195-2][264-2][320-2];3355.52,[56-2][264-2][320-2];3282.69,[264-2][320-2][515-2];2998.01,[264-2][320-2][507-2];2888.97,[264-2][320-2][412-2];2639.07,[188-2][264-2][320-2];2627.34,[243-2][264-2][320-2];2578.74,[264-2][320-2][576-2];2575.93,[264-2][320-2][365-2];2544.91
[264-2][296-2][320-2];3699.36,[195-2][264-2][320-2];3355.52,[56-2][264-2][320-2];3282.69,[264-2][320-2][515-2];2998.01,[264-2][320-2][507-2];2888.97,[264-2][320-2][412-2];2639.07,[188-2][264-2][320-2];2627.34,[243-2][264-2][320-2];2578.74,[264-2][320-2][576-2];2575.93,[264-2][320-2][365-2];2544.91
[264-2][296-2][320-2];3699.36,[195-2][264-2][320-2];3355.52,[56-2][264-2][320-2];3282.69,[264-2][320-2][515-2];2998.01,[264-2][320-2][507-2];2888.97,[264-2][320-2][412-2];2639.07,[188-2][264-2][320-2];2627.34,[243-2][264-2][320-2];2578.74,[264-2][320-2][576-2];2575.93,[264-2][320-2][365-2];2544.91
[264-2][296-2][320-2];3699.36,[195-2][264-2][320-2];3355.52,[56-2][264-2][320-2];3282.69,[264-2][320-2][515-2];2998.01,[264-2][320-2][507-2];2888.97,[264-2][320-2][412-2];2639.07,[188-2][264-2][320-2];2627.34,[243-2][264-2][320-2];2578.74,[264-2][320-2][576-2];2575.93,[264-2][320-2][365-2];2544.91
[264-2][296-2][320-2];3699.36,[195-2][264-2][320-2];3355.52,[56-2][264-2][320-2];3282.69,[264-2][320-2][515-2];2998.01,[264-2][320-2][507-2];2888.97,[264-2][320-2][412-2];2639.07,[188-2][264-2][320-2];2627.34,[243-2][264-2][320-2];2578.74,[264-2][320-2][576-2];2575.93,[264-2][320-2][365-2];2544.91
[264-2][296-2][320-2];3699.36,[195-2][264-2][320-2];3355.52,[56-2][264-2][320-2];3282.69,[264-2][320-2][515-2];2998.01,[264-2][320-2][507-2];2888.97,[264-2][320-2][412-2];2639.07,[188-2][264-2][320-2];2627.34,[243-2][264-2][320-2];2578.74,[264-2][320-2][576-2];2575.93,[264-2][320-2][365-2];2544.91
[264-2][296-2][320-2];3699.36,[195-2][264-2][320-2];3355.52,[56-2][264-2][320-2];3282.69,[264-2][279-2][320-2];3003.86,[264-2][320-2][515-2];2998.01,[264-2][320-2][507-2];2888.97,[37-2][264-2][320-2];2820.52,[264-2][320-2][412-2];2639.07,[188-2][264-2][320-2];2627.34,[243-2][264-2][320-2];2578.74
