[48-2][363-2][463-2][516-2];253.952,[184-2][320-2][373-2][401-2];253.295,[66-2][141-2][181-2][533-2];247.491,[184-2][185-2][424-2][449-2];244.877,[166-2][256-2][381-2][442-2];240.004,[149-2][181-2][516-2][554-2];234.434,[38-2][441-2][467-2][528-2];232.937,[169-2][223-2][264-2][449-2];229.125,[115-2][154-2][488-2][577-2];228.582,[16-2][36-2][320-2][515-2];226.732,[170-2][320-2][455-2][576-2];225.89,[36-2][278-2][320-2][515-2];225.722,[30-2][223-2][264-2][557-2];225.672,[19-2][417-2][446-2][525-2];224.865
[149-2][181-2][320-2][515-2];560.791,[24-2][48-2][363-2][516-2];361.371,[149-2][185-2][320-2][516-2];322.982,[66-2][264-2][359-2][557-2];290.998,[36-2][278-2][320-2][480-2];286.942,[184-2][320-2][373-2][455-2];275.944,[184-2][320-2][401-2][551-2];261.143,[24-2][170-2][320-2][515-2];254.08,[48-2][363-2][463-2][516-2];253.952,[66-2][136-2][428-2][437-2];253.756,[184-2][320-2][373-2][401-2];253.295,[178-2][348-2][498-2][545-2];247.854,[66-2][141-2][181-2][533-2];247.491,[48-2][104-2][467-2][533-2];245.493
[149-2][181-2][320-2][515-2];560.791,[149-2][178-2][320-2][515-2];416.634,[24-2][48-2][363-2][516-2];361.371,[32-2][278-2][320-2][515-2];356.743,[36-2][66-2][264-2][428-2];331.099,[149-2][185-2][320-2][516-2];322.982,[66-2][264-2][408-2][547-2];308.983,[61-2][209-2][320-2][515-2];296.791,[66-2][264-2][359-2][557-2];290.998,[36-2][278-2][320-2][480-2];286.942,[169-2][241-2][320-2][515-2];284.61,[184-2][320-2][373-2][455-2];275.944,[184-2][320-2][401-2][551-2];261.143,[24-2][170-2][320-2][515-2];254.08
[66-2][264-2][320-2][557-2];1097.82,[149-2][181-2][320-2][515-2];560.791,[149-2][178-2][320-2][515-2];416.634,[149-2][320-2][363-2][515-2];403.044,[24-2][48-2][363-2][516-2];361.371,[32-2][278-2][320-2][515-2];356.743,[66-2][264-2][482-2][547-2];355.85,[149-2][320-2][322-2][515-2];341.675,[66-2][264-2][296-2][439-2];332.311,[36-2][66-2][264-2][428-2];331.099,[149-2][185-2][320-2][516-2];322.982,[66-2][264-2][408-2][515-2];315.331,[66-2][264-2][408-2][547-2];308.983,[149-2][181-2][320-2][455-2];303.181
[66-2][259-2][264-2][320-2];1372.05,[66-2][264-2][320-2][578-2];1283.09,[66-2][264-2][320-2][379-2];1245.47,[66-2][264-2][320-2][557-2];1097.82,[149-2][178-2][264-2][428-2];891.426,[149-2][181-2][320-2][515-2];560.791,[149-2][178-2][320-2][515-2];416.634,[149-2][320-2][401-2][515-2];415.913,[149-2][320-2][363-2][515-2];403.044,[76-2][149-2][320-2][515-2];375.184,[24-2][48-2][363-2][516-2];361.371,[32-2][278-2][320-2][515-2];356.743,[66-2][264-2][482-2][547-2];355.85,[149-2][181-2][320-2][576-2];343.123
[264-2][320-2][363-2][515-2];2092.97,[36-2][264-2][320-2][480-2];1759.71,[61-2][264-2][320-2][578-2];1566.99,[66-2][264-2][320-2][516-2];1563.63,[230-2][264-2][308-2][320-2];1453.79,[66-2][259-2][264-2][320-2];1372.05,[223-2][264-2][320-2][379-2];1354.51,[66-2][264-2][320-2][556-2];1349.09,[66-2][264-2][320-2][578-2];1283.09,[10-2][264-2][320-2][359-2];1277.42,[68-2][264-2][320-2][578-2];1271.77,[66-2][264-2][320-2][379-2];1245.47,[264-2][320-2][416-2][578-2];1199.04,[66-2][264-2][320-2][401-2];1197.58
[3-2][264-2][320-2][515-2];2998.01,[149-2][264-2][320-2][556-2];2699.57,[149-2][264-2][320-2][515-2];2544.11,[10-2][264-2][320-2][515-2];2423.02,[264-2][320-2][492-2][516-2];2154.64,[264-2][320-2][363-2][515-2];2092.97,[149-2][264-2][320-2][551-2];2088.72,[109-2][264-2][320-2][516-2];1943.74,[264-2][302-2][320-2][578-2];1920.43,[36-2][45-2][264-2][320-2];1872.17,[66-2][264-2][320-2][513-2];1799.92,[119-2][264-2][320-2][545-2];1782.71,[115-2][264-2][320-2][515-2];1780.03,[36-2][264-2][320-2][480-2];1759.71
[149-2][264-2][320-2][432-2];5251.98,[149-2][264-2][320-2][428-2];3833.59,[3-2][264-2][320-2][515-2];2998.01,[149-2][264-2][320-2][578-2];2966.76,[149-2][264-2][320-2][556-2];2699.57,[149-2][264-2][320-2][516-2];2684.13,[149-2][264-2][320-2][515-2];2544.11,[10-2][264-2][320-2][515-2];2423.02,[149-2][264-2][320-2][348-2];2290.7,[264-2][310-2][320-2][515-2];2163.77,[264-2][320-2][492-2][516-2];2154.64,[264-2][320-2][492-2][515-2];2134.31,[264-2][320-2][363-2][515-2];2092.97,[149-2][264-2][320-2][551-2];2088.72
[149-2][264-2][320-2][432-2];5251.98,[149-2][264-2][320-2][428-2];3833.59,[149-2][264-2][304-2][320-2];3715.73,[149-2][264-2][320-2][379-2];3242.19,[13-2][149-2][264-2][320-2];3031.3,[3-2][264-2][320-2][515-2];2998.01,[264-2][320-2][406-2][515-2];2998.01,[149-2][264-2][320-2][578-2];2966.76,[264-2][320-2][452-2][515-2];2942.21,[119-2][264-2][320-2][515-2];2835.58,[149-2][264-2][320-2][556-2];2699.57,[149-2][264-2][320-2][516-2];2684.13,[264-2][320-2][452-2][480-2];2659.74,[109-2][264-2][320-2][480-2];2644.26
[149-2][264-2][320-2][432-2];5251.98,[149-2][264-2][320-2][480-2];4565.95,[27-2][149-2][264-2][320-2];4260.44,[149-2][264-2][320-2][428-2];3833.59,[149-2][264-2][304-2][320-2];3715.73,[149-2][264-2][320-2][478-2];3393.75,[149-2][261-2][264-2][320-2];3379.3,[149-2][264-2][320-2][379-2];3242.19,[13-2][149-2][264-2][320-2];3031.3,[172-2][264-2][320-2][515-2];3016.94,[264-2][320-2][406-2][515-2];2998.01,[264-2][320-2][515-2][518-2];2998.01,[3-2][264-2][320-2][515-2];2998.01,[34-2][264-2][320-2][515-2];2998.01
[149-2][264-2][320-2][432-2];5251.98,[88-2][149-2][264-2][320-2];5134.26,[149-2][264-2][320-2][324-2];4680.32,[149-2][264-2][320-2][480-2];4565.95,[27-2][149-2][264-2][320-2];4260.44,[149-2][264-2][320-2][428-2];3833.59,[149-2][264-2][304-2][320-2];3715.73,[19-2][149-2][264-2][320-2];3580.84,[149-2][264-2][320-2][478-2];3393.75,[149-2][261-2][264-2][320-2];3379.3,[149-2][264-2][320-2][379-2];3242.19,[149-2][264-2][287-2][320-2];3187.56,[149-2][264-2][320-2][530-2];3082.07,[13-2][149-2][264-2][320-2];3031.3
