TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 5251.98097041,Top
0,628.518683145,0.0362094242898,245.520385742,3.7228529685,536,-1[149-2][264-2][320-2];5251.98097041,[181-2][235-2][272-2][485-2][540-2];628.518683145,[120-2][273-2][375-2][455-2][467-2];609.58660218,[22-2][387-2][437-2][504-2][576-2];561.133918768
1,628.518683145,41.6284216496,302.083892822,3.45733910485,543,-1[149-2][264-2][320-2];5251.98097041,[181-2][235-2][272-2][485-2][540-2];628.518683145,[120-2][273-2][375-2][455-2][467-2];609.58660218,[182-2][257-2][273-2][311-2][375-2];584.299728952
1,628.518683145,33.5272809623,336.766387939,3.35281543555,531,-1[149-2][264-2][320-2];5251.98097041,[181-2][235-2][272-2][485-2][540-2];628.518683145,[120-2][273-2][375-2][455-2][467-2];609.58660218,[166-2][186-2][190-2][191-2][312-2];601.900676276
1,628.518683145,39.0480509734,364.363891602,3.49609439865,527,-1[149-2][264-2][320-2];5251.98097041,[181-2][235-2][272-2][485-2][540-2];628.518683145,[120-2][273-2][375-2][455-2][467-2];609.58660218,[126-2][162-2][182-2][240-2][257-2];607.770721597
1,671.750632007,39.0480509734,376.933563232,3.26618976072,538,-1[149-2][264-2][320-2];5251.98097041,[182-2][235-2][272-2][485-2][540-2];671.750632007,[181-2][235-2][272-2][485-2][540-2];628.518683145,[120-2][273-2][375-2][442-2][455-2];611.871467183
1,671.750632007,90.7300055715,403.922180176,3.60455944821,520,-1[149-2][264-2][320-2];5251.98097041,[182-2][235-2][272-2][485-2][540-2];671.750632007,[22-2][295-2][387-2][422-2][491-2];663.111226097,[182-2][191-2][257-2][264-2][312-2];660.066123297
1,671.750632007,104.611476362,414.711120605,3.59210693498,547,-1[149-2][264-2][320-2];5251.98097041,[182-2][235-2][272-2][485-2][540-2];671.750632007,[181-2][264-2][315-2][401-2][458-2];667.563215313,[22-2][295-2][387-2][422-2][491-2];663.111226097
1,671.750632007,25.4659801483,422.036590576,3.68638027128,545,-1[149-2][264-2][320-2];5251.98097041,[182-2][235-2][272-2][485-2][540-2];671.750632007,[20-2][196-2][320-2][372-2][540-2];670.039455472,[181-2][264-2][315-2][401-2][458-2];667.563215313
1,671.750632007,44.0284010158,419.33203125,3.76423100207,539,-1[149-2][264-2][320-2];5251.98097041,[182-2][235-2][272-2][485-2][540-2];671.750632007,[37-2][159-2][264-2][412-2][442-2];670.427062873,[20-2][196-2][320-2][372-2][540-2];670.039455472
1,671.750632007,62.2901356012,431.880249023,3.0986461183,527,-1[149-2][264-2][320-2];5251.98097041,[182-2][235-2][272-2][485-2][540-2];671.750632007,[37-2][159-2][264-2][412-2][442-2];670.427062873,[20-2][196-2][320-2][372-2][540-2];670.039455472
2,1390.00220331,101.86658467,442.104034424,4.08118121171,525,-1[149-2][264-2][320-2];5251.98097041,[155-2][234-2][264-2][320-2][321-2];1390.00220331,[257-2][260-2][273-2][320-2][504-2];692.705260105,[182-2][235-2][272-2][485-2][540-2];671.750632007
2,1390.00220331,73.5426876568,457.686859131,4.51342608507,521,-1[149-2][264-2][320-2];5251.98097041,[155-2][234-2][264-2][320-2][321-2];1390.00220331,[36-2][136-2][264-2][320-2][409-2];1086.38274364,[20-2][196-2][264-2][320-2][542-2];1069.17913992
2,1676.55317412,94.4516547883,478.681671143,4.5395819135,531,-1[149-2][264-2][320-2];5251.98097041,[23-2][136-2][264-2][320-2][409-2];1676.55317412,[155-2][234-2][264-2][320-2][321-2];1390.00220331,[22-2][264-2][295-2][320-2][321-2];1348.43944049
2,1676.55317412,106.388197414,511.659667969,6.37732557607,534,-1[149-2][264-2][320-2];5251.98097041,[23-2][136-2][264-2][320-2][409-2];1676.55317412,[39-2][99-2][264-2][320-2][321-2];1408.13549117,[22-2][51-2][264-2][320-2][485-2];1393.50540839
2,1848.19837704,46.829580298,602.29284668,6.08084568672,511,-1[149-2][264-2][320-2];5251.98097041,[93-2][234-2][264-2][320-2][321-2];1848.19837704,[29-2][158-2][264-2][320-2][321-2];1847.77295679,[22-2][264-2][320-2][337-2][491-2];1693.12779744
2,2586.02175674,46.829580298,712.000976563,12.0871403033,505,-1[149-2][264-2][320-2];5251.98097041,[127-2][155-2][264-2][320-2][321-2];2586.02175674,[5-2][136-2][264-2][320-2][537-2];2269.89469465,[155-2][264-2][320-2][395-2][471-2];2249.99726398
2,2719.88933626,120.825204069,873.915405273,14.3567870027,484,-1[149-2][264-2][320-2];5251.98097041,[56-2][71-2][264-2][320-2][321-2];2719.88933626,[37-2][264-2][320-2][337-2][491-2];2592.84273379,[127-2][155-2][264-2][320-2][321-2];2586.02175674
2,2719.88933626,54.9643227222,1057.19494629,20.3284097032,474,-1[149-2][264-2][320-2];5251.98097041,[56-2][71-2][264-2][320-2][321-2];2719.88933626,[37-2][264-2][320-2][337-2][491-2];2592.84273379,[127-2][155-2][264-2][320-2][321-2];2586.02175674
2,4964.13482427,54.9643227222,1153.41259766,23.8709286386,488,-1[149-2][264-2][320-2];5251.98097041,[37-2][264-2][320-2][321-2][344-2];4964.13482427,[56-2][71-2][264-2][320-2][332-2];2877.5989874,[37-2][250-2][264-2][320-2][332-2];2820.51783782
3,4964.13482427,39.509496039,1296.2890625,18.497148247,504,-1[149-2][264-2][320-2];5251.98097041,[37-2][264-2][320-2][321-2][344-2];4964.13482427,[37-2][264-2][320-2][321-2][337-2];4964.13482427,[37-2][250-2][264-2][320-2][321-2];4964.13482427
3,4995.616616,36.7728211633,1534.02294922,35.8918788903,461,-1[149-2][264-2][320-2];5251.98097041,[37-2][129-2][264-2][320-2][321-2];4995.616616,[37-2][264-2][320-2][321-2][346-2];4964.13482427,[37-2][250-2][264-2][320-2][321-2];4964.13482427
3,4995.616616,36.7728211633,1704.54772949,38.3539485842,473,-1[149-2][264-2][320-2];5251.98097041,[37-2][129-2][264-2][320-2][321-2];4995.616616,[37-2][250-2][264-2][320-2][321-2];4964.13482427,[37-2][264-2][320-2][321-2][344-2];4964.13482427
3,4995.616616,32.4372209262,1997.89880371,42.3692260912,469,-1[149-2][264-2][320-2];5251.98097041,[37-2][129-2][264-2][320-2][321-2];4995.616616,[37-2][264-2][320-2][321-2][344-2];4964.13482427,[37-2][250-2][264-2][320-2][321-2];4964.13482427
3,5044.18136242,65.0933148005,2121.47680664,43.2710447367,460,-1[149-2][264-2][320-2];5251.98097041,[37-2][264-2][293-2][320-2][321-2];5044.18136242,[37-2][129-2][264-2][320-2][321-2];4995.616616,[37-2][264-2][320-2][321-2][323-2];4964.13482427
3,5236.04019161,7.83470196124,2424.33154297,53.6538798435,430,-1[149-2][264-2][320-2];5251.98097041,[3-2][37-2][264-2][320-2][563-2];5236.04019161,[37-2][264-2][293-2][320-2][321-2];5044.18136242,[37-2][129-2][264-2][320-2][321-2];4995.616616
3,5236.04019161,9.75603279589,2632.81030273,48.0967881526,392,-1[149-2][264-2][320-2];5251.98097041,[3-2][37-2][264-2][320-2][563-2];5236.04019161,[37-2][264-2][293-2][320-2][321-2];5044.18136242,[37-2][129-2][264-2][320-2][321-2];4995.616616
3,5236.04019161,89.6679834729,2881.54736328,50.4960282787,383,-1[149-2][264-2][320-2];5251.98097041,[3-2][37-2][264-2][320-2][563-2];5236.04019161,[37-2][264-2][293-2][320-2][321-2];5044.18136242,[37-2][129-2][264-2][320-2][321-2];4995.616616
3,5269.24179348,0.329123657587,3094.94799805,52.4895169489,350,-1[149-2][264-2][320-2];5251.98097041,[37-2][129-2][264-2][320-2][563-2];5269.24179348,[3-2][37-2][264-2][320-2][563-2];5236.04019161,[37-2][264-2][293-2][320-2][321-2];5044.18136242
3,5269.24179348,59.3728177185,3016.17456055,52.4994522696,366,-1[149-2][264-2][320-2];5251.98097041,[37-2][129-2][264-2][320-2][563-2];5269.24179348,[3-2][37-2][264-2][320-2][563-2];5236.04019161,[37-2][250-2][264-2][320-2][563-2];5236.04019161
4,6253.15306625,56.1058403271,3112.59667969,37.4997240006,363,-1[149-2][264-2][320-2];5251.98097041,[176-2][264-2][320-2][380-2][503-2];6253.15306625,[37-2][129-2][264-2][320-2][563-2];5269.24179348,[37-2][250-2][264-2][320-2][563-2];5236.04019161
4,6253.15306625,82.1055033929,3188.62182617,36.8608393381,352,-1[149-2][264-2][320-2];5251.98097041,[176-2][264-2][320-2][380-2][503-2];6253.15306625,[37-2][129-2][264-2][320-2][563-2];5269.24179348,[3-2][37-2][264-2][320-2][563-2];5236.04019161
4,6253.15306625,20.1373784509,3333.56567383,52.5352184156,337,-1[149-2][264-2][320-2];5251.98097041,[176-2][264-2][320-2][380-2][503-2];6253.15306625,[176-2][264-2][320-2][321-2][380-2];5456.65630918,[37-2][129-2][264-2][320-2][563-2];5269.24179348
4,6253.15306625,16.4770721525,3331.03881836,37.2158405495,334,-1[149-2][264-2][320-2];5251.98097041,[176-2][264-2][320-2][380-2][503-2];6253.15306625,[176-2][264-2][320-2][321-2][380-2];5456.65630918,[37-2][129-2][264-2][320-2][563-2];5269.24179348
4,6253.15306625,78.2799478005,3596.63110352,51.2077120579,309,-1[149-2][264-2][320-2];5251.98097041,[176-2][264-2][320-2][380-2][503-2];6253.15306625,[176-2][264-2][320-2][321-2][380-2];5456.65630918,[37-2][129-2][264-2][320-2][563-2];5269.24179348
4,6253.15306625,88.7163179208,3547.79223633,51.9710593609,303,-1[149-2][264-2][320-2];5251.98097041,[176-2][264-2][320-2][380-2][503-2];6253.15306625,[176-2][264-2][320-2][321-2][380-2];5456.65630918,[37-2][129-2][264-2][320-2][563-2];5269.24179348
4,6253.15306625,78.2799478005,3604.70996094,53.3464409361,291,-1[149-2][264-2][320-2];5251.98097041,[176-2][264-2][320-2][380-2][503-2];6253.15306625,[176-2][264-2][320-2][321-2][380-2];5456.65630918,[37-2][129-2][264-2][320-2][563-2];5269.24179348
4,6253.15306625,90.1143743352,3717.85083008,65.3289333445,279,-1[149-2][264-2][320-2];5251.98097041,[176-2][264-2][320-2][380-2][503-2];6253.15306625,[176-2][264-2][320-2][321-2][380-2];5456.65630918,[37-2][129-2][264-2][320-2][563-2];5269.24179348
4,6253.15306625,82.1055033929,3733.11499023,37.3078001745,270,-1[149-2][264-2][320-2];5251.98097041,[176-2][264-2][320-2][380-2][503-2];6253.15306625,[176-2][264-2][320-2][321-2][380-2];5456.65630918,[37-2][129-2][264-2][320-2][563-2];5269.24179348
4,6253.15306625,77.8172810383,3852.33129883,34.8829145067,265,-1[149-2][264-2][320-2];5251.98097041,[176-2][264-2][320-2][380-2][503-2];6253.15306625,[176-2][264-2][320-2][321-2][380-2];5456.65630918,[37-2][129-2][264-2][320-2][563-2];5269.24179348
5,6253.15306625,78.2799478005,3869.0168457,53.7777327414,263,-1[149-2][264-2][320-2];5251.98097041,[176-2][264-2][320-2][380-2][503-2];6253.15306625,[176-2][264-2][320-2][380-2][563-2];5605.69816266,[176-2][264-2][320-2][321-2][380-2];5456.65630918
5,6253.15306625,36.7850621031,3810.3815918,59.0121841368,263,-1[149-2][264-2][320-2];5251.98097041,[176-2][264-2][320-2][380-2][503-2];6253.15306625,[176-2][264-2][320-2][380-2][563-2];5605.69816266,[176-2][264-2][320-2][321-2][380-2];5456.65630918
5,6253.15306625,69.3432157229,3908.55322266,57.8013372823,249,-1[149-2][264-2][320-2];5251.98097041,[176-2][264-2][320-2][380-2][503-2];6253.15306625,[176-2][243-2][264-2][320-2][563-2];5729.18595909,[176-2][264-2][320-2][380-2][563-2];5605.69816266
5,6253.15306625,3.29322034873,3864.0090332,56.2518751614,262,-1[149-2][264-2][320-2];5251.98097041,[176-2][264-2][320-2][380-2][503-2];6253.15306625,[176-2][243-2][264-2][320-2][563-2];5729.18595909,[176-2][264-2][320-2][380-2][563-2];5605.69816266
5,6253.15306625,22.8847182397,3747.13916016,55.0972241036,271,-1[149-2][264-2][320-2];5251.98097041,[176-2][264-2][320-2][380-2][503-2];6253.15306625,[176-2][243-2][264-2][320-2][563-2];5729.18595909,[176-2][243-2][264-2][320-2][321-2];5706.04428868
5,6253.15306625,29.0801824359,3831.85986328,39.8586670916,267,-1[149-2][264-2][320-2];5251.98097041,[176-2][264-2][320-2][380-2][503-2];6253.15306625,[176-2][264-2][320-2][321-2][480-2];5879.13952009,[176-2][243-2][264-2][320-2][563-2];5729.18595909
5,6253.15306625,20.5964431554,3778.56787109,39.9300370283,277,-1[149-2][264-2][320-2];5251.98097041,[176-2][250-2][264-2][320-2][380-2];6253.15306625,[176-2][264-2][320-2][380-2][503-2];6253.15306625,[174-2][176-2][264-2][320-2][380-2];6253.15306625
5,6253.15306625,78.9331711162,3855.96289063,56.3931128224,274,-1[149-2][264-2][320-2];5251.98097041,[176-2][264-2][320-2][380-2][503-2];6253.15306625,[174-2][176-2][264-2][320-2][380-2];6253.15306625,[176-2][250-2][264-2][320-2][380-2];6253.15306625
5,6687.89310021,82.1055033929,3848.67089844,57.9701298032,268,-1[149-2][264-2][320-2];5251.98097041,[176-2][202-2][264-2][320-2][480-2];6687.89310021,[176-2][250-2][264-2][320-2][380-2];6253.15306625,[176-2][264-2][320-2][380-2][503-2];6253.15306625
5,6687.89310021,33.7309649137,3913.75439453,66.2993672433,255,-1[149-2][264-2][320-2];5251.98097041,[176-2][202-2][264-2][320-2][480-2];6687.89310021,[176-2][264-2][320-2][380-2][503-2];6253.15306625,[176-2][250-2][264-2][320-2][380-2];6253.15306625
