[54-2][87-2][384-2][389-2][400-2][544-2];1333.54,[101-2][264-2][320-2][347-2][394-2][401-2];1316.41,[47-2][204-2][234-2][350-2][483-2][578-2];1203.35,[47-2][204-2][234-2][350-2][483-2][516-2];1189.38,[36-2][68-2][364-2][398-2][408-2][516-2];1173.27,[117-2][190-2][191-2][305-2][342-2][430-2];1158.74,[154-2][224-2][328-2][351-2][455-2][509-2];1157.55,[36-2][60-2][73-2][166-2][437-2][578-2];1150.54,[54-2][165-2][252-2][316-2][364-2][434-2];1117.25,[29-2][73-2][159-2][166-2][437-2][578-2];1090.04,[32-2][106-2][169-2][384-2][493-2][571-2];1066.01,[47-2][169-2][234-2][350-2][483-2][516-2];1063.58,[139-2][271-2][295-2][335-2][437-2][559-2];1062.99,[101-2][264-2][320-2][401-2][506-2][557-2];1051.52,[139-2][271-2][295-2][335-2][347-2][437-2];1042.15,[72-2][116-2][139-2][312-2][559-2][577-2];1032.7,[36-2][60-2][73-2][166-2][437-2][557-2];1030.21,[17-2][175-2][193-2][309-2][336-2][509-2];1010.59,[117-2][180-2][335-2][342-2][430-2][507-2];999.071,[25-2][180-2][181-2][204-2][254-2][467-2];991.525,[106-2][336-2][339-2][355-2][373-2][519-2];987.429
[94-2][196-2][320-2][422-2][447-2][448-2];1458.89,[47-2][204-2][234-2][384-2][389-2][441-2];1357.92,[47-2][204-2][234-2][286-2][463-2][483-2];1343.05,[54-2][87-2][384-2][389-2][400-2][544-2];1333.54,[101-2][264-2][320-2][347-2][394-2][401-2];1316.41,[29-2][264-2][320-2][418-2][508-2][563-2];1296.56,[21-2][120-2][159-2][303-2][342-2][386-2];1242.03,[54-2][87-2][384-2][386-2][389-2][400-2];1216.57,[47-2][204-2][234-2][350-2][483-2][578-2];1203.35,[47-2][204-2][234-2][350-2][483-2][516-2];1189.38,[101-2][264-2][320-2][347-2][394-2][551-2];1178.23,[36-2][68-2][364-2][398-2][408-2][516-2];1173.27,[36-2][73-2][166-2][437-2][460-2][578-2];1164.54,[139-2][271-2][295-2][335-2][400-2][450-2];1163.95,[29-2][106-2][381-2][404-2][437-2][533-2];1161.54,[117-2][190-2][191-2][305-2][342-2][430-2];1158.74,[154-2][224-2][328-2][351-2][455-2][509-2];1157.55,[36-2][60-2][73-2][166-2][437-2][578-2];1150.54,[36-2][233-2][295-2][335-2][437-2][559-2];1132.99,[43-2][190-2][224-2][328-2][455-2][505-2];1132.76,[54-2][165-2][303-2][316-2][370-2][386-2];1124.42
[94-2][196-2][320-2][422-2][447-2][448-2];1458.89,[48-2][101-2][286-2][368-2][387-2][404-2];1442.49,[94-2][196-2][320-2][389-2][422-2][540-2];1421.12,[48-2][83-2][139-2][415-2][514-2][551-2];1418.97,[94-2][196-2][320-2][342-2][422-2][430-2];1418.02,[47-2][204-2][234-2][384-2][389-2][441-2];1357.92,[47-2][204-2][234-2][286-2][463-2][483-2];1343.05,[38-2][162-2][204-2][280-2][291-2][557-2];1342.33,[54-2][87-2][384-2][389-2][400-2][544-2];1333.54,[101-2][264-2][320-2][347-2][394-2][401-2];1316.41,[87-2][384-2][389-2][400-2][464-2][544-2];1313.7,[29-2][264-2][320-2][418-2][508-2][563-2];1296.56,[54-2][87-2][384-2][389-2][400-2][573-2];1279.39,[29-2][181-2][184-2][229-2][355-2][504-2];1255.25,[47-2][87-2][204-2][350-2][425-2][483-2];1251.62,[21-2][120-2][159-2][303-2][342-2][386-2];1242.03,[36-2][68-2][307-2][315-2][483-2][501-2];1241.8,[21-2][190-2][191-2][305-2][342-2][430-2];1229.13,[25-2][116-2][139-2][312-2][559-2][577-2];1228.53,[54-2][87-2][384-2][386-2][389-2][400-2];1216.57,[106-2][153-2][169-2][384-2][493-2][571-2];1216.31
[38-2][92-2][204-2][254-2][389-2][441-2];1566.57,[94-2][196-2][320-2][422-2][447-2][448-2];1458.89,[54-2][87-2][384-2][389-2][437-2][573-2];1449.39,[48-2][101-2][286-2][368-2][387-2][404-2];1442.49,[94-2][196-2][320-2][389-2][422-2][540-2];1421.12,[48-2][83-2][139-2][415-2][514-2][551-2];1418.97,[94-2][196-2][320-2][342-2][422-2][430-2];1418.02,[47-2][204-2][234-2][384-2][389-2][441-2];1357.92,[48-2][101-2][286-2][368-2][387-2][388-2];1345.65,[29-2][181-2][184-2][355-2][404-2][504-2];1344.33,[47-2][204-2][234-2][286-2][463-2][483-2];1343.05,[38-2][162-2][204-2][280-2][291-2][557-2];1342.33,[116-2][209-2][364-2][401-2][433-2][498-2];1340.16,[54-2][87-2][384-2][389-2][400-2][544-2];1333.54,[54-2][87-2][384-2][385-2][400-2][573-2];1331.04,[101-2][264-2][320-2][347-2][394-2][401-2];1316.41,[87-2][384-2][389-2][400-2][464-2][544-2];1313.7,[128-2][139-2][295-2][335-2][424-2][504-2];1306.07,[40-2][139-2][271-2][309-2][389-2][404-2];1302.76,[36-2][73-2][166-2][437-2][460-2][571-2];1297.99,[29-2][264-2][320-2][418-2][508-2][563-2];1296.56
[38-2][92-2][204-2][254-2][389-2][441-2];1566.57,[264-2][320-2][418-2][437-2][536-2][563-2];1488.12,[94-2][196-2][320-2][422-2][447-2][448-2];1458.89,[54-2][87-2][384-2][389-2][437-2][573-2];1449.39,[48-2][101-2][286-2][368-2][387-2][404-2];1442.49,[94-2][196-2][320-2][389-2][422-2][540-2];1421.12,[48-2][83-2][139-2][415-2][514-2][551-2];1418.97,[94-2][196-2][320-2][342-2][422-2][430-2];1418.02,[165-2][204-2][234-2][384-2][441-2][514-2];1395.42,[154-2][264-2][320-2][418-2][477-2][563-2];1386.97,[101-2][264-2][320-2][460-2][493-2][577-2];1377.25,[36-2][190-2][191-2][342-2][402-2][576-2];1362.42,[48-2][66-2][120-2][320-2][389-2][422-2];1358.58,[47-2][204-2][234-2][384-2][389-2][441-2];1357.92,[47-2][204-2][234-2][286-2][404-2][509-2];1351.18,[48-2][101-2][286-2][368-2][387-2][388-2];1345.65,[38-2][165-2][280-2][291-2][303-2][557-2];1345.18,[29-2][181-2][184-2][355-2][404-2][504-2];1344.33,[47-2][204-2][234-2][286-2][463-2][483-2];1343.05,[48-2][83-2][139-2][226-2][514-2][551-2];1342.41,[38-2][162-2][204-2][280-2][291-2][557-2];1342.33
[38-2][92-2][190-2][191-2][342-2][441-2];1633.79,[198-2][264-2][267-2][320-2][371-2][461-2];1620.86,[38-2][92-2][204-2][254-2][389-2][441-2];1566.57,[264-2][320-2][418-2][437-2][536-2][563-2];1488.12,[36-2][165-2][204-2][316-2][364-2][430-2];1460.83,[94-2][196-2][320-2][422-2][447-2][448-2];1458.89,[54-2][87-2][384-2][389-2][437-2][573-2];1449.39,[48-2][101-2][286-2][368-2][387-2][404-2];1442.49,[69-2][190-2][215-2][362-2][425-2][447-2];1438.93,[48-2][101-2][273-2][286-2][387-2][514-2];1421.94,[87-2][101-2][114-2][305-2][353-2][577-2];1421.93,[94-2][196-2][320-2][389-2][422-2][540-2];1421.12,[48-2][83-2][139-2][415-2][514-2][551-2];1418.97,[94-2][196-2][320-2][342-2][422-2][430-2];1418.02,[106-2][139-2][280-2][291-2][320-2][458-2];1415.4,[38-2][165-2][280-2][291-2][433-2][557-2];1414.75,[101-2][264-2][320-2][454-2][460-2][577-2];1413.07,[101-2][264-2][300-2][320-2][460-2][577-2];1411.27,[36-2][233-2][320-2][424-2][435-2][436-2];1409.36,[165-2][204-2][234-2][384-2][441-2][514-2];1395.42,[38-2][92-2][184-2][355-2][404-2][504-2];1387.52
[83-2][139-2][415-2][437-2][514-2][551-2];1800.18,[38-2][92-2][190-2][191-2][342-2][441-2];1633.79,[198-2][264-2][267-2][320-2][371-2][461-2];1620.86,[38-2][92-2][204-2][254-2][389-2][441-2];1566.57,[139-2][154-2][300-2][355-2][437-2][577-2];1547.94,[9-2][20-2][320-2][347-2][402-2][533-2];1537.88,[116-2][209-2][364-2][401-2][433-2][577-2];1531.34,[128-2][196-2][320-2][342-2][422-2][430-2];1501.21,[44-2][49-2][264-2][320-2][347-2][394-2];1499.96,[264-2][320-2][418-2][437-2][536-2][563-2];1488.12,[54-2][171-2][204-2][280-2][342-2][384-2];1473.9,[116-2][182-2][384-2][389-2][437-2][514-2];1462.46,[36-2][165-2][204-2][316-2][364-2][430-2];1460.83,[94-2][196-2][320-2][422-2][447-2][448-2];1458.89,[54-2][204-2][234-2][286-2][404-2][509-2];1457.91,[101-2][264-2][320-2][394-2][401-2][546-2];1453.33,[54-2][87-2][384-2][389-2][437-2][573-2];1449.39,[48-2][101-2][286-2][368-2][387-2][404-2];1442.49,[69-2][190-2][215-2][362-2][425-2][447-2];1438.93,[87-2][139-2][154-2][235-2][404-2][435-2];1434.24,[69-2][159-2][223-2][320-2][389-2][422-2];1423.69
[83-2][139-2][415-2][437-2][514-2][551-2];1800.18,[38-2][92-2][190-2][191-2][342-2][441-2];1633.79,[198-2][264-2][267-2][320-2][371-2][461-2];1620.86,[29-2][181-2][184-2][355-2][430-2][573-2];1600.23,[214-2][264-2][320-2][499-2][536-2][563-2];1598.18,[38-2][92-2][204-2][254-2][389-2][441-2];1566.57,[21-2][101-2][204-2][320-2][514-2][551-2];1564.44,[38-2][165-2][291-2][342-2][433-2][473-2];1562.17,[139-2][154-2][300-2][355-2][437-2][577-2];1547.94,[9-2][20-2][320-2][347-2][402-2][533-2];1537.88,[87-2][139-2][154-2][235-2][389-2][441-2];1535.26,[116-2][209-2][364-2][401-2][433-2][577-2];1531.34,[128-2][196-2][320-2][342-2][422-2][430-2];1501.21,[44-2][49-2][264-2][320-2][347-2][394-2];1499.96,[264-2][320-2][418-2][437-2][536-2][563-2];1488.12,[87-2][154-2][212-2][389-2][400-2][441-2];1479.33,[54-2][171-2][204-2][280-2][342-2][384-2];1473.9,[83-2][116-2][139-2][415-2][514-2][551-2];1468.69,[116-2][182-2][384-2][389-2][437-2][514-2];1462.46,[48-2][101-2][190-2][351-2][387-2][404-2];1460.91,[36-2][165-2][204-2][316-2][364-2][430-2];1460.83
[83-2][139-2][415-2][437-2][514-2][551-2];1800.18,[38-2][92-2][190-2][191-2][342-2][441-2];1633.79,[198-2][264-2][267-2][320-2][371-2][461-2];1620.86,[43-2][87-2][384-2][385-2][389-2][441-2];1619.1,[29-2][181-2][184-2][355-2][430-2][573-2];1600.23,[214-2][264-2][320-2][499-2][536-2][563-2];1598.18,[38-2][92-2][204-2][254-2][389-2][441-2];1566.57,[21-2][101-2][204-2][320-2][514-2][551-2];1564.44,[38-2][165-2][291-2][342-2][433-2][473-2];1562.17,[139-2][154-2][300-2][355-2][437-2][577-2];1547.94,[9-2][20-2][320-2][347-2][402-2][533-2];1537.88,[87-2][139-2][154-2][235-2][389-2][441-2];1535.26,[116-2][209-2][364-2][401-2][433-2][577-2];1531.34,[116-2][182-2][384-2][389-2][430-2][437-2];1515.15,[38-2][92-2][166-2][401-2][404-2][504-2];1503.83,[128-2][196-2][320-2][342-2][422-2][430-2];1501.21,[44-2][49-2][264-2][320-2][347-2][394-2];1499.96,[69-2][83-2][139-2][415-2][514-2][551-2];1493.37,[264-2][320-2][418-2][437-2][536-2][563-2];1488.12,[87-2][154-2][212-2][389-2][400-2][441-2];1479.33,[116-2][320-2][389-2][394-2][448-2][533-2];1475.99
[83-2][139-2][415-2][437-2][514-2][551-2];1800.18,[38-2][92-2][190-2][191-2][342-2][441-2];1633.79,[198-2][264-2][267-2][320-2][371-2][461-2];1620.86,[43-2][87-2][384-2][385-2][389-2][441-2];1619.1,[29-2][181-2][184-2][355-2][430-2][573-2];1600.23,[214-2][264-2][320-2][499-2][536-2][563-2];1598.18,[38-2][92-2][204-2][254-2][389-2][441-2];1566.57,[21-2][101-2][204-2][320-2][514-2][551-2];1564.44,[21-2][154-2][190-2][235-2][389-2][441-2];1563.11,[38-2][165-2][291-2][342-2][433-2][473-2];1562.17,[139-2][154-2][300-2][355-2][437-2][577-2];1547.94,[9-2][20-2][320-2][347-2][402-2][533-2];1537.88,[87-2][139-2][154-2][235-2][389-2][441-2];1535.26,[116-2][209-2][364-2][401-2][433-2][577-2];1531.34,[94-2][320-2][342-2][433-2][437-2][577-2];1531.26,[87-2][154-2][212-2][389-2][404-2][509-2];1516.65,[116-2][182-2][384-2][389-2][430-2][437-2];1515.15,[38-2][87-2][384-2][389-2][458-2][533-2];1511.74,[29-2][87-2][280-2][291-2][389-2][483-2];1506.33,[38-2][54-2][171-2][204-2][280-2][342-2];1506.31,[38-2][92-2][166-2][401-2][404-2][504-2];1503.83
[83-2][139-2][415-2][437-2][514-2][551-2];1800.18,[38-2][92-2][190-2][191-2][342-2][441-2];1633.79,[198-2][264-2][267-2][320-2][371-2][461-2];1620.86,[43-2][87-2][384-2][385-2][389-2][441-2];1619.1,[116-2][182-2][384-2][437-2][447-2][509-2];1618.28,[81-2][183-2][264-2][320-2][394-2][516-2];1610.25,[29-2][181-2][184-2][355-2][430-2][573-2];1600.23,[214-2][264-2][320-2][499-2][536-2][563-2];1598.18,[117-2][171-2][234-2][320-2][430-2][437-2];1580.58,[38-2][92-2][204-2][254-2][389-2][441-2];1566.57,[21-2][101-2][204-2][320-2][514-2][551-2];1564.44,[21-2][154-2][190-2][235-2][389-2][441-2];1563.11,[38-2][165-2][291-2][342-2][433-2][473-2];1562.17,[87-2][101-2][204-2][320-2][404-2][435-2];1553.51,[139-2][154-2][300-2][355-2][437-2][577-2];1547.94,[9-2][20-2][320-2][347-2][402-2][533-2];1537.88,[87-2][139-2][154-2][320-2][514-2][551-2];1536.74,[69-2][83-2][139-2][415-2][514-2][577-2];1535.96,[87-2][139-2][154-2][235-2][389-2][441-2];1535.26,[116-2][209-2][364-2][401-2][433-2][577-2];1531.34,[94-2][320-2][342-2][433-2][437-2][577-2];1531.26
