148,263,319,Requested,Created,Diff,Diff%
0,0,0,1010,1044,-34,-2
1,0,0,766,762,4,1
2,0,0,145,171,-26,-17
0,1,0,288,286,2,1
1,1,0,219,189,30,14
2,1,0,41,38,3,7
0,2,0,21,21,0,0
1,2,0,16,15,1,6
2,2,0,3,2,1,33
0,0,1,831,794,37,4
1,0,1,631,641,-10,-1
2,0,1,120,130,-10,-7
0,1,1,238,237,1,0
1,1,1,180,165,15,8
2,1,1,34,37,-3,-8
0,2,1,17,30,-13,-75
1,2,1,13,15,-2,-14
2,2,1,2,5,-3,-149
0,0,2,171,185,-14,-7
1,0,2,130,108,22,17
2,0,2,25,38,-13,-51
0,1,2,49,43,6,12
1,1,2,37,28,9,24
2,1,2,7,12,-5,-70
0,2,2,3,2,1,33
1,2,2,3,2,1,33
2,2,2,0,0,0,-2147483648

NUM,SUM,MAX,MIN
25,0,37,-34
25,0,33,-2147483648
