530,923,1111,Requested,Created,Diff,Diff%
0,0,0,975,976,-1,0
1,0,0,740,722,18,2
2,0,0,148,145,3,2
0,1,0,279,290,-11,-3
1,1,0,211,204,7,3
2,1,0,43,38,5,12
0,2,0,21,18,3,14
1,2,0,16,16,0,0
2,2,0,13,10,3,23
0,0,1,803,825,-22,-2
1,0,1,609,586,23,4
2,0,1,125,117,8,6
0,1,1,229,202,27,12
1,1,1,174,213,-39,-21
2,1,1,37,40,-3,-7
0,2,1,18,20,-2,-10
1,2,1,14,14,0,0
2,2,1,13,15,-2,-14
0,0,2,174,166,8,5
1,0,2,136,152,-16,-11
2,0,2,33,33,0,0
0,1,2,51,57,-6,-11
1,1,2,40,42,-2,-4
2,1,2,13,9,4,31
0,2,2,13,12,1,8
1,2,2,13,15,-2,-14
2,2,2,63,63,0,0

NUM,SUM,MAX,MIN
23,4,27,-39
22,4,31,-21
