TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 1174,Top
31,10,-5.99999982119,0.251256287098,0.0188450631801,4266,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[1095-2][4415-2];10,[4149-2][9179-2];8.84337329865,[9179-2][17044-2];8.2900428772
62,10,-5.99999982119,0.441281557083,0.0203022911975,4083,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[1095-2][4415-2];10,[9179-2][10364-2];9.47999954224,[4149-2][9179-2];8.84337329865
93,10,-5.99999982119,0.575989961624,0.0223233586876,4073,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[1095-2][4415-2];10,[9179-2][10364-2];9.47999954224,[9091-2][9179-2];9.19318199158
124,13,-8,0.716998696327,0.0251502696081,4008,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][12761-2];13,[9179-2][16378-2];12,[7659-2][9179-2];10.2857141495
156,15.5,-6.49999975786,0.897676169872,0.0292252200882,4019,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[8801-2][9179-2];15.5,[5442-2][9179-2];13,[9179-2][12761-2];13
187,15.5,-4.99999992549,1.29910337925,0.036280991179,3883,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[8801-2][9179-2];15.5,[3750-2][9179-2];14,[9179-2][12761-2];13
217,22,-4.99999992549,2.08235549927,0.0456499014793,3706,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][14760-2];22,[1052-2][9179-2];17,[8801-2][9179-2];15.5
248,33.6666679382,-5.99999982119,3.13249731064,0.0555973264205,3532,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][12910-2];33.6666679382,[3855-2][9179-2];26,[9179-2][14760-2];22
279,33.6666679382,-9.99999985099,4.25307416916,0.0616206693167,3256,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][12910-2];33.6666679382,[4378-2][9179-2];28,[3855-2][9179-2];26
310,33.6666679382,-5.49999983609,5.03299045563,0.0663951071604,3088,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][12910-2];33.6666679382,[9179-2][17595-2];33,[4378-2][9179-2];28
341,33.6666679382,-4.99999992549,6.3531794548,0.0735784556721,2774,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][12910-2];33.6666679382,[9179-2][17595-2];33,[4378-2][9179-2];28
