TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 1174,Top
31,45,-5.99999982119,1.22355151176,0.0308925573529,4664,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[2219-2][2620-2][5314-2][9179-2];45,[1660-2][5314-2][7355-2][9179-2];36.5,[2756-2][5314-2][7355-2][9179-2];33
62,177,-4.99999992549,1.59985637665,0.0651595124899,4612,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[2756-2][9179-2][10981-2][14825-2];177,[2219-2][5314-2][9179-2][19051-2];131,[5314-2][8027-2][9179-2][19054-2];90
92,505,-4.99999992549,3.89106059074,0.229705449263,4449,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[2-2][5314-2][9179-2][19054-2];505,[1660-2][9179-2][10981-2][14825-2];225.5,[64-2][5314-2][9179-2][14824-2];208
124,2120,-5.99999982119,20.3511104584,0.969813384148,4138,0[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14825-2];2120,[64-2][5314-2][9179-2][10981-2];667,[2219-2][9179-2][10981-2][14823-2];544
155,2133,-5.99999982119,127.257110596,4.26754953023,2755,1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19056-2];2133,[5314-2][9179-2][10981-2][14825-2];2120,[5314-2][9179-2][10981-2][14823-2];1564
187,2133,-2.99999991059,514.080383301,10.645423411,1636,1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19056-2];2133,[5314-2][9179-2][10981-2][14825-2];2120,[5314-2][9179-2][10981-2][14823-2];1564
217,2133,-2.99999991059,1203.22009277,13.4815005082,968,1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19056-2];2133,[5314-2][9179-2][10981-2][14825-2];2120,[5314-2][9179-2][14825-2][19056-2];2110
249,2133,-2.49999996275,1568.48425293,12.3408738817,737,1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19056-2];2133,[5314-2][9179-2][10981-2][14825-2];2120,[5314-2][9179-2][14825-2][19056-2];2110
281,2133,1,1651.3951416,11.8021918308,659,1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19056-2];2133,[5314-2][9179-2][10981-2][14825-2];2120,[5314-2][9179-2][14825-2][19056-2];2110
312,2133,1,1658.80883789,11.7758485966,633,1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19056-2];2133,[5314-2][9179-2][10981-2][14825-2];2120,[5314-2][9179-2][14825-2][19056-2];2110
364,2133,-4.99999992549,1009.18719482,14.8539117912,2649,1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19056-2];2133,[5314-2][9179-2][10981-2][14825-2];2120,[5314-2][9179-2][14825-2][19056-2];2110
396,2133,1,1709.30395508,11.3739993183,605,1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19056-2];2133,[5314-2][9179-2][10981-2][14825-2];2120,[5314-2][9179-2][14825-2][19056-2];2110
428,2133,-2,1663.15893555,11.8140681173,631,1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19056-2];2133,[5314-2][9179-2][10981-2][14825-2];2120,[5314-2][9179-2][14825-2][19056-2];2110
460,2133,1,1656.55224609,11.8903634546,636,1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19056-2];2133,[5314-2][9179-2][10981-2][14825-2];2120,[5314-2][9179-2][14825-2][19056-2];2110
491,2133,1,1669.05737305,11.7537467029,612,1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19056-2];2133,[5314-2][9179-2][10981-2][14825-2];2120,[5314-2][9179-2][14825-2][19056-2];2110
524,2133,-2,1661.85192871,11.8523266466,638,1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19056-2];2133,[5314-2][9179-2][10981-2][14825-2];2120,[5314-2][9179-2][14825-2][19056-2];2110
575,2133,-8,1009.32769775,14.8525305277,2649,1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19056-2];2133,[5314-2][9179-2][10981-2][14825-2];2120,[5314-2][9179-2][14825-2][19056-2];2110
607,2133,-2,1668.4810791,11.8169167853,651,1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19056-2];2133,[5314-2][9179-2][10981-2][14825-2];2120,[5314-2][9179-2][14825-2][19056-2];2110
639,2133,-2,1677.27661133,11.7073405152,605,1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19056-2];2133,[5314-2][9179-2][10981-2][14825-2];2120,[5314-2][9179-2][14825-2][19056-2];2110
671,2133,-2,1681.12585449,11.6742230575,623,1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19056-2];2133,[5314-2][9179-2][10981-2][14825-2];2120,[5314-2][9179-2][14825-2][19056-2];2110
703,2133,-2,1668.96264648,11.7915818517,635,1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19056-2];2133,[5314-2][9179-2][10981-2][14825-2];2120,[5314-2][9179-2][14825-2][19056-2];2110
