TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 1174,Top
31,221,-5.99999982119,5.42954826355,0.234061866712,4631,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][8326-2][9179-2][14825-2][19056-2];221,[5314-2][9179-2][10728-2][19051-2][19054-2];187.5,[1660-2][9179-2][14823-2][19051-2][19056-2];186
63,1888,-4.99999992549,24.4484672546,1.03116505635,4253,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19051-2][19054-2];1117,[5314-2][9179-2][14823-2][19051-2][19054-2];836
95,1888,-5.99999982119,144.305847168,4.18511373914,3186,5[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[5314-2][9179-2][14823-2][14825-2][19056-2];1509
126,1888,-2.99999991059,507.616088867,8.73967292634,1911,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
158,1888,1,923.275695801,10.4609328935,1122,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
190,1888,-2,1142.65515137,10.601752394,812,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
222,1888,-2,1261.90795898,10.5960708945,728,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
274,1888,-5.99999982119,904.092590332,13.1855197494,2647,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
306,1888,-2,1468.63098145,10.2921627832,474,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
339,1888,-2,1425.22827148,10.6047280973,486,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
371,1888,-2,1417.79382324,10.6207670672,498,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
