TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 1174,Top
33,1129,-6.99999968708,16.2853927612,0.612698368908,4549,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129,[5314-2][9179-2][14823-2][19051-2][19054-2][19056-2];807,[2602-2][5314-2][9179-2][14825-2][19054-2][19056-2];464
65,1129,-4,67.5763549805,1.69376488207,3817,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129,[9179-2][10981-2][14825-2][19051-2][19054-2][19056-2];1069,[5314-2][9179-2][10981-2][14825-2][19054-2][19056-2];1041
98,1317,-4,186.075485229,3.29375487411,2642,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
131,1317,1.10000002384,336.063995361,4.75758328395,1768,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
163,1317,1.10000002384,486.055114746,5.6979125272,1281,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
196,1317,1.89999997616,602.465148926,6.10987589552,1027,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
228,1317,2.42857146263,696.904724121,6.20939927893,830,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
261,1317,1.53571426868,718.543151855,6.33456848431,811,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
314,1317,-6.99999968708,542.226257324,7.84081760405,2639,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
346,1317,1,833.98425293,6.1897716959,604,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
379,1317,2.66666674614,811.150878906,6.23548966279,613,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
412,1317,2,799.488464355,6.31582996839,639,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
444,1317,1.5,795.355957031,6.29987140618,654,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
477,1317,2,794.853027344,6.29541660248,653,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
529,1317,-6.99999968708,550.354370117,7.94437501048,2632,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
562,1317,-6.99999968708,855.128601074,6.22329703993,583,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
594,1317,-2,811.673950195,6.38905781119,617,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
626,1317,3,804.31237793,6.39140159929,628,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
32,628,-6.99999968708,18.0579586029,0.612612695306,4484,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14825-2][19051-2][19054-2];628,[5314-2][9179-2][14823-2][14824-2][14825-2][19056-2];579,[5314-2][9179-2][14823-2][14824-2][14825-2][19054-2];532
65,1317,-6.99999968708,73.7551422119,1.74113553091,3755,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][14825-2][19051-2][19054-2][19056-2];1082
