TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 1174,Top
33,467,-4,17.7997188568,0.472831478052,4394,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2][14823-2][14824-2][14825-2][19054-2][19056-2];467,[2602-2][5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];318,[5314-2][9179-2][10981-2][14823-2][14824-2][14825-2][19056-2];309
66,745,-2.99999991059,53.7951316833,1.0743833609,3676,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737,[5314-2][9179-2][10981-2][14825-2][19051-2][19054-2][19056-2];610
99,761,-2.99999991059,119.281272888,1.90338110485,2594,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
132,761,-2.99999991059,196.374786377,2.73858005176,1888,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
164,761,-2.99999991059,280.497924805,3.37918200811,1387,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
197,761,-2.99999991059,343.984222412,3.66493110896,1092,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
230,761,2,395.16229248,3.78468447456,880,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
263,761,1,422.692199707,3.86104028595,773,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
317,761,-4,332.235198975,4.83693222549,2622,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
350,761,1,517.068359375,3.73825253856,506,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
383,761,3,484.132385254,3.87323194405,556,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
417,761,3.79999995232,483.437042236,3.90109370804,607,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
449,761,3.79999995232,493.113647461,3.87758535926,573,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
482,761,3.79999995232,491.571807861,3.88638451435,560,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
535,761,-4,356.389465332,5.10483097301,2612,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
34,429,-4,15.8191127777,0.426871143647,4476,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2];299,[9179-2][10981-2][14823-2][14824-2][19051-2][19054-2][19056-2];295
