TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 1174,Top
33,291,-2.99999991059,6.49733781815,0.198800218591,4587,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[2602-2][5314-2][9179-2][10981-2][14825-2][19051-2][19054-2][19056-2];159,[5314-2][9179-2][10728-2][14823-2][14825-2][19051-2][19054-2][19056-2];144
66,429,-2.99999991059,18.8697185516,0.467410264713,4099,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[2602-2][5314-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];188
99,429,-2.99999991059,49.1171646118,0.833688776522,3007,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[5314-2][9179-2][10981-2][14823-2][14824-2][14825-2][19054-2][19056-2];271
133,429,1,83.389251709,1.16045542347,2098,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
165,429,1,117.74886322,1.46195606945,1466,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
198,429,1,146.32901001,1.74342280907,1261,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
232,429,-2,179.500289917,2.01785449171,1109,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
285,429,-4,161.029037476,2.51229586783,2629,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
319,429,1,252.473571777,2.24749381018,744,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
352,429,1,254.049682617,2.28578161458,666,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
385,429,1,258.712249756,2.32140921253,686,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
418,429,2,264.817565918,2.33918207564,643,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
451,429,2,269.345306396,2.34690954865,620,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
504,429,-2,206.402038574,2.97829081744,2634,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
