4296,7582,9079,12328,15958,Requested,Created,Diff,Diff%
0,0,0,0,0,3423,3313,110,3
1,0,0,0,0,2597,2550,47,2
2,0,0,0,0,492,560,-68,-13
0,1,0,0,0,978,971,7,1
1,1,0,0,0,742,724,18,2
2,1,0,0,0,141,141,0,0
0,2,0,0,0,70,79,-9,-12
1,2,0,0,0,53,70,-17,-31
2,2,0,0,0,10,9,1,10
0,0,1,0,0,2819,2779,40,1
1,0,1,0,0,2138,2221,-83,-3
2,0,1,0,0,405,384,21,5
0,1,1,0,0,805,772,33,4
1,1,1,0,0,611,629,-18,-2
2,1,1,0,0,116,124,-8,-6
0,2,1,0,0,58,48,10,17
1,2,1,0,0,44,45,-1,-1
2,2,1,0,0,8,4,4,50
0,0,2,0,0,580,587,-7,0
1,0,2,0,0,440,434,6,1
2,0,2,0,0,83,77,6,7
0,1,2,0,0,166,172,-6,-3
1,1,2,0,0,126,131,-5,-3
2,1,2,0,0,24,19,5,21
0,2,2,0,0,12,18,-6,-49
1,2,2,0,0,9,11,-2,-21
2,2,2,0,0,2,2,0,0
0,0,0,1,0,3686,3717,-31,0
1,0,0,1,0,2796,2684,112,4
2,0,0,1,0,530,532,-2,0
0,1,0,1,0,1053,1094,-41,-3
1,1,0,1,0,799,800,-1,0
2,1,0,1,0,151,178,-27,-17
0,2,0,1,0,75,72,3,4
1,2,0,1,0,57,45,12,21
2,2,0,1,0,11,18,-7,-63
0,0,1,1,0,3036,3076,-40,0
1,0,1,1,0,2303,2281,22,1
2,0,1,1,0,437,452,-15,-2
0,1,1,1,0,867,869,-2,0
1,1,1,1,0,658,672,-14,-1
2,1,1,1,0,125,112,13,10
0,2,1,1,0,62,62,0,0
1,2,1,1,0,47,53,-6,-12
2,2,1,1,0,9,6,3,33
0,0,2,1,0,625,665,-40,-5
1,0,2,1,0,474,474,0,0
2,0,2,1,0,90,93,-3,-2
0,1,2,1,0,179,189,-10,-5
1,1,2,1,0,135,129,6,4
2,1,2,1,0,26,23,3,12
0,2,2,1,0,13,10,3,23
1,2,2,1,0,10,13,-3,-29
2,2,2,1,0,2,0,2,100
0,0,0,2,0,992,997,-5,0
1,0,0,2,0,753,769,-16,-1
2,0,0,2,0,143,141,2,1
0,1,0,2,0,283,281,2,1
1,1,0,2,0,215,202,13,6
2,1,0,2,0,41,36,5,12
0,2,0,2,0,20,17,3,15
1,2,0,2,0,15,17,-2,-12
2,2,0,2,0,3,3,0,0
0,0,1,2,0,817,809,8,1
1,0,1,2,0,620,575,45,7
2,0,1,2,0,118,115,3,3
0,1,1,2,0,233,230,3,1
1,1,1,2,0,177,164,13,7
2,1,1,2,0,34,36,-2,-5
0,2,1,2,0,17,14,3,18
1,2,1,2,0,13,10,3,23
2,2,1,2,0,2,4,-2,-99
0,0,2,2,0,168,150,18,11
1,0,2,2,0,128,123,5,4
2,0,2,2,0,24,22,2,8
0,1,2,2,0,48,46,2,4
1,1,2,2,0,36,41,-5,-13
2,1,2,2,0,7,5,2,29
0,2,2,2,0,3,2,1,33
1,2,2,2,0,2,1,1,50
2,2,2,2,0,0,0,0,-2147483648
0,0,0,0,1,3963,4045,-82,-1
1,0,0,0,1,3007,2872,135,4
2,0,0,0,1,570,567,3,1
0,1,0,0,1,1132,1167,-35,-2
1,1,0,0,1,859,865,-6,0
2,1,0,0,1,163,173,-10,-5
0,2,0,0,1,81,92,-11,-13
1,2,0,0,1,61,68,-7,-10
2,2,0,0,1,12,12,0,0
0,0,1,0,1,3264,3318,-54,-1
1,0,1,0,1,2476,2516,-40,-1
2,0,1,0,1,469,446,23,5
0,1,1,0,1,933,896,37,4
1,1,1,0,1,707,667,40,6
2,1,1,0,1,134,131,3,2
0,2,1,0,1,67,69,-2,-2
1,2,1,0,1,51,47,4,8
2,2,1,0,1,10,14,-4,-39
0,0,2,0,1,672,656,16,2
1,0,2,0,1,510,478,32,6
2,0,2,0,1,97,90,7,7
0,1,2,0,1,192,205,-13,-6
1,1,2,0,1,146,142,4,3
2,1,2,0,1,28,27,1,4
0,2,2,0,1,14,21,-7,-49
1,2,2,0,1,10,7,3,30
2,2,2,0,1,2,2,0,0
0,0,0,1,1,4268,4311,-43,0
1,0,0,1,1,3238,3230,8,0
2,0,0,1,1,614,578,36,6
0,1,0,1,1,1219,1240,-21,-1
1,1,0,1,1,925,932,-7,0
2,1,0,1,1,175,189,-14,-7
0,2,0,1,1,87,90,-3,-2
1,2,0,1,1,66,68,-2,-2
2,2,0,1,1,12,11,1,8
0,0,1,1,1,3515,3575,-60,-1
1,0,1,1,1,2666,2661,5,0
2,0,1,1,1,506,537,-31,-5
0,1,1,1,1,1004,1036,-32,-2
1,1,1,1,1,762,735,27,4
2,1,1,1,1,144,143,1,1
0,2,1,1,1,72,64,8,11
1,2,1,1,1,54,52,2,4
2,2,1,1,1,10,17,-7,-69
0,0,2,1,1,723,714,9,1
1,0,2,1,1,549,521,28,5
2,0,2,1,1,104,100,4,4
0,1,2,1,1,207,218,-11,-4
1,1,2,1,1,157,151,6,4
2,1,2,1,1,30,26,4,13
0,2,2,1,1,15,11,4,27
1,2,2,1,1,11,16,-5,-44
2,2,2,1,1,2,5,-3,-149
0,0,0,2,1,1149,1121,28,2
1,0,0,2,1,871,854,17,2
2,0,0,2,1,165,177,-12,-6
0,1,0,2,1,328,330,-2,0
1,1,0,2,1,249,267,-18,-6
2,1,0,2,1,47,53,-6,-12
0,2,0,2,1,23,26,-3,-12
1,2,0,2,1,18,22,-4,-21
2,2,0,2,1,3,3,0,0
0,0,1,2,1,946,953,-7,0
1,0,1,2,1,718,737,-19,-2
2,0,1,2,1,136,125,11,8
0,1,1,2,1,270,319,-49,-17
1,1,1,2,1,205,197,8,4
2,1,1,2,1,39,38,1,3
0,2,1,2,1,19,20,-1,-4
1,2,1,2,1,15,18,-3,-19
2,2,1,2,1,3,1,2,67
0,0,2,2,1,195,209,-14,-6
1,0,2,2,1,148,165,-17,-10
2,0,2,2,1,28,30,-2,-6
0,1,2,2,1,56,41,15,27
1,1,2,2,1,42,41,1,2
2,1,2,2,1,8,6,2,25
0,2,2,2,1,4,5,-1,-24
1,2,2,2,1,3,3,0,0
