TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 3586856.65443,Top
122,4158260.70792,93.734086717,144186.921875,3674.55670721,3965,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][8765-2][9179-2][10981-2][14825-2];4158260.70792,[5314-2][9179-2][10981-2][14827-2][19056-2];2841959.12081,[5314-2][9179-2][14773-2][14825-2][19056-2];2450576.39652
243,4604544.78713,93.734086717,503686.03125,8438.32074484,3810,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][10981-2][14825-2][14831-2];4604544.78713,[5314-2][8765-2][9179-2][10981-2][14825-2];4158260.70792,[5314-2][9179-2][10981-2][14825-2][18916-2];4126265.90311
361,5018474.70905,93.734086717,961554.8125,12725.9124902,3467,42[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905,[5314-2][9179-2][14825-2][19049-2][19056-2];4787084.17135,[5314-2][9179-2][10981-2][19053-2][19056-2];4775561.76526
481,5018474.70905,394.253140324,1448168,16640.5350895,3024,66[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905,[5314-2][9179-2][10981-2][19049-2][19056-2];4936694.76031,[5314-2][9179-2][14825-2][19049-2][19056-2];4787084.17135
602,5018474.70905,1441.86160362,1875820.75,19081.0297688,2801,100[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905,[5314-2][9179-2][9601-2][10981-2][19056-2];4955179.48511,[5314-2][9179-2][10981-2][19049-2][19056-2];4936694.76031
726,6164656.45387,1441.86160362,2232025.5,20205.2518805,2548,127[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905,[5314-2][9179-2][9601-2][10981-2][19056-2];4955179.48511
847,6164656.45387,1309.20356622,2496145.25,20551.2575741,2277,142[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905,[5314-2][9179-2][9601-2][10981-2][19056-2];4955179.48511
970,6164656.45387,1441.5155126,2591114.5,20682.1373661,2211,145[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
1095,6164656.45387,9029.39705964,2663781.5,21089.4214013,2133,147[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
1220,6164656.45387,8825.01077325,2714907.5,21234.7887185,2117,149[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
1344,6164656.45387,13544.116132,2766726.5,21398.1001108,2051,150[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
