TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 3586856.65443,Top
92,4524018.64339,168.996328624,325338.3125,8112.44547024,4149,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[695-2][5314-2][9179-2][9601-2][10981-2][19056-2];4524018.64339,[695-2][9179-2][9601-2][10981-2][14825-2][19056-2];4163647.31163,[5314-2][9179-2][10981-2][14825-2][15346-2][19086-2];4145332.02464
183,4890787.54909,168.996328624,1047880.625,16051.1736997,3885,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][10981-2][19048-2][19049-2][19056-2];4890787.54909,[5314-2][9179-2][9601-2][10981-2][19046-2][19056-2];4759056.11239,[5314-2][9179-2][10981-2][19048-2][19056-2][19057-2];4658242.70268
272,4989668.35704,388.788619436,1814252.5,19659.2479063,3379,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][12431-2][14825-2][19042-2][19053-2];4989668.35704,[5314-2][9179-2][10981-2][19048-2][19049-2][19056-2];4890787.54909,[5314-2][9179-2][9601-2][10981-2][19046-2][19056-2];4759056.11239
362,4989668.35704,473.395667951,2211415.75,20020.2475287,3128,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][12431-2][14825-2][19042-2][19053-2];4989668.35704,[5314-2][9179-2][10981-2][19048-2][19049-2][19056-2];4890787.54909,[5314-2][9179-2][9601-2][10981-2][19046-2][19056-2];4759056.11239
453,5045258.84894,2758.78975001,2386496,20144.1756301,2955,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][14976-2][19042-2][19053-2];5045258.84894,[5314-2][9179-2][12431-2][14825-2][19042-2][19053-2];4989668.35704,[5314-2][9179-2][10981-2][19048-2][19049-2][19056-2];4890787.54909
542,5045258.84894,1233.94948201,2526514.5,20354.648248,2850,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][14976-2][19042-2][19053-2];5045258.84894,[5314-2][9179-2][12431-2][14825-2][19042-2][19053-2];4989668.35704,[5314-2][9179-2][10981-2][19048-2][19049-2][19056-2];4890787.54909
631,5364152.83156,333.513502793,2537867.25,20622.8556129,2878,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][14831-2][19042-2][19053-2];5364152.83156,[5314-2][9179-2][14825-2][14976-2][19042-2][19053-2];5045258.84894,[5314-2][9179-2][12431-2][14825-2][19042-2][19053-2];4989668.35704
719,5715981.73746,4779.32577478,2577440.75,20850.1987916,2909,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5715981.73746,[5314-2][9179-2][14825-2][14831-2][19042-2][19053-2];5364152.83156,[5314-2][9179-2][14825-2][14976-2][19042-2][19053-2];5045258.84894
811,5715981.73746,4779.32577478,2641938,20787.473222,2837,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5715981.73746,[5314-2][9179-2][14825-2][14831-2][19042-2][19053-2];5364152.83156,[5314-2][9179-2][14825-2][14976-2][19042-2][19053-2];5045258.84894
902,5715981.73746,263.903553169,2654838,21147.021891,2890,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5715981.73746,[5314-2][9179-2][14825-2][14831-2][19042-2][19053-2];5364152.83156,[5314-2][9179-2][14825-2][14976-2][19042-2][19053-2];5045258.84894
992,5715981.73746,9020.60967385,2689994.25,21261.9132163,2833,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5715981.73746,[695-2][5314-2][9179-2][14825-2][19042-2][19053-2];5551547.7562,[5314-2][9179-2][14825-2][14831-2][19042-2][19053-2];5364152.83156
1083,5715981.73746,9043.60712422,2695972.25,21413.0613779,2837,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5715981.73746,[695-2][5314-2][9179-2][14825-2][19042-2][19053-2];5551547.7562,[5314-2][9179-2][14825-2][14831-2][19042-2][19053-2];5364152.83156
1175,5715981.73746,9017.73213235,2773594.25,21391.4511286,2755,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5715981.73746,[695-2][5314-2][9179-2][14825-2][19042-2][19053-2];5551547.7562,[5314-2][9179-2][14825-2][19042-2][19053-2][19086-2];5460407.93852
1322,5715981.73746,203.43931606,2038369.875,28724.4904657,3196,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5715981.73746,[695-2][5314-2][9179-2][14825-2][19042-2][19053-2];5551547.7562,[5314-2][9179-2][14825-2][19042-2][19053-2][19086-2];5460407.93852
1411,5715981.73746,352.7570099,3010041.5,21839.0915516,2393,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5715981.73746,[695-2][5314-2][9179-2][14825-2][19042-2][19053-2];5551547.7562,[5314-2][9179-2][14825-2][19042-2][19053-2][19086-2];5460407.93852
1501,5715981.73746,8988.63284663,2930981.25,21932.7956937,2534,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5715981.73746,[695-2][5314-2][9179-2][14825-2][19042-2][19053-2];5551547.7562,[5314-2][9179-2][14825-2][19042-2][19053-2][19086-2];5460407.93852
1593,5715981.73746,9208.18211302,2848287.75,22217.8754108,2623,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5715981.73746,[695-2][5314-2][9179-2][14825-2][19042-2][19053-2];5551547.7562,[5314-2][9179-2][14825-2][19042-2][19053-2][19086-2];5460407.93852
1682,5715981.73746,9107.498746,2846516.5,22244.9287224,2663,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5715981.73746,[695-2][5314-2][9179-2][14825-2][19042-2][19053-2];5551547.7562,[5314-2][9179-2][14825-2][15346-2][19042-2][19053-2];5530872.8014
1769,5715981.73746,2735.75120497,2864868,22272.965123,2644,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5715981.73746,[695-2][5314-2][9179-2][14825-2][19042-2][19053-2];5551547.7562,[5314-2][9179-2][14825-2][15346-2][19042-2][19053-2];5530872.8014
1913,5715981.73746,144.833608331,2094488.625,29430.7677172,3108,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5715981.73746,[695-2][5314-2][9179-2][14825-2][19042-2][19053-2];5551547.7562,[5314-2][9179-2][14825-2][15346-2][19042-2][19053-2];5530872.8014
2002,5715981.73746,444.503919849,3125927.25,22149.3361719,2216,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5715981.73746,[695-2][5314-2][9179-2][14825-2][19042-2][19053-2];5551547.7562,[5314-2][9179-2][14825-2][15346-2][19042-2][19053-2];5530872.8014
2094,5715981.73746,13536.4271709,3014783.75,22150.2685274,2386,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5715981.73746,[695-2][5314-2][9179-2][14825-2][19042-2][19053-2];5551547.7562,[5314-2][9179-2][14825-2][15346-2][19042-2][19053-2];5530872.8014
