TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 3586856.65443,Top
89,3923236.24503,303.25853694,554251.375,10403.9653391,4191,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[9179-2][9601-2][10981-2][14825-2][15346-2][19046-2][19056-2];3923236.24503,[5314-2][9179-2][9601-2][10981-2][14825-2][15346-2][19086-2];3858980.38449,[4925-2][5314-2][9179-2][10981-2][14976-2][19048-2][19056-2];3647519.03587
177,4345363.32412,546.688318057,1235324.375,14900.1323881,4213,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[695-2][5314-2][9179-2][9601-2][10981-2][19046-2][19056-2];4345363.32412,[9179-2][10981-2][14825-2][19048-2][19049-2][19056-2][19057-2];4241639.81276,[4925-2][5314-2][9179-2][9601-2][10981-2][19056-2][19057-2];4215909.29643
265,4345363.32412,779.099074825,1696794.75,15977.5117811,4205,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[695-2][5314-2][9179-2][9601-2][10981-2][19046-2][19056-2];4345363.32412,[9179-2][10981-2][14825-2][19048-2][19049-2][19056-2][19057-2];4241639.81276,[5314-2][9179-2][9601-2][10981-2][15346-2][19056-2][19057-2];4232883.49691
355,4609032.37388,668.16087304,1913645,16493.022298,4231,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[9179-2][9601-2][10981-2][14825-2][16922-2][19046-2][19053-2];4609032.37388,[5314-2][9179-2][9601-2][10981-2][19048-2][19056-2][19057-2];4383972.02505,[4925-2][5314-2][9179-2][10981-2][19048-2][19049-2][19056-2];4382506.67205
443,5438804.47446,1230.38741528,2075225.125,16621.6447052,4190,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][9179-2][9601-2][14825-2][14831-2][19042-2][19053-2];4983177.41566,[5314-2][9179-2][10981-2][19048-2][19049-2][19056-2][19057-2];4620055.49238
532,5438804.47446,9121.72967906,2151780.25,16988.7630222,4206,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][9179-2][9601-2][14825-2][14831-2][19042-2][19053-2];4983177.41566,[5314-2][9179-2][10981-2][19048-2][19049-2][19056-2][19057-2];4620055.49238
620,5438804.47446,9269.03518196,2198292.25,17358.8661937,4181,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][9179-2][9601-2][14825-2][14831-2][19042-2][19053-2];4983177.41566,[5314-2][9179-2][14825-2][14831-2][19042-2][19046-2][19053-2];4652355.32097
709,5438804.47446,9383.74811946,2243317,17727.1777361,4193,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][9179-2][9601-2][14825-2][15346-2][19042-2][19053-2];5143869.08238,[5314-2][9179-2][9601-2][14825-2][14831-2][19042-2][19053-2];4983177.41566
798,5438804.47446,2243.08294287,2312404.75,17978.5252385,4119,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][9179-2][9601-2][14825-2][15346-2][19042-2][19053-2];5143869.08238,[5314-2][9179-2][9601-2][14825-2][14831-2][19042-2][19053-2];4983177.41566
888,5438804.47446,9270.72731908,2336192,18325.5748413,4086,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][9179-2][9601-2][14825-2][15346-2][19042-2][19053-2];5143869.08238,[5314-2][9179-2][14825-2][14975-2][14976-2][19042-2][19053-2];5044461.07134
1032,5438804.47446,322.302999913,1781945.375,25000.22344,4102,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][9179-2][9601-2][14825-2][15346-2][19042-2][19053-2];5143869.08238,[5314-2][9179-2][14825-2][14975-2][14976-2][19042-2][19053-2];5044461.07134
1120,5438804.47446,1317.71328725,2645941.5,19088.9458864,3584,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][9179-2][9601-2][14825-2][15346-2][19042-2][19053-2];5143869.08238,[5314-2][9179-2][14825-2][14975-2][14976-2][19042-2][19053-2];5044461.07134
1208,5438804.47446,13654.6977871,2544828.5,19589.7867534,3750,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][9179-2][9601-2][14825-2][15346-2][19042-2][19053-2];5143869.08238,[5314-2][9179-2][14825-2][14975-2][14976-2][19042-2][19053-2];5044461.07134
1298,5438804.47446,1109.75486234,2525653.5,19599.543028,3790,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][9179-2][9601-2][14825-2][15346-2][19042-2][19053-2];5143869.08238,[5314-2][9179-2][14825-2][14975-2][14976-2][19042-2][19053-2];5044461.07134
1386,5438804.47446,1565.55941838,2521385,19742.7817938,3796,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][5475-2][9179-2][14825-2][19042-2][19049-2][19086-2];5306142.44984,[695-2][5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5155755.32603
1475,5438804.47446,5258.57955321,2478643.5,19830.6437045,3832,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][5475-2][9179-2][14825-2][19042-2][19049-2][19086-2];5306142.44984,[695-2][5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5155755.32603
1619,5438804.47446,369.527725878,1885895.125,26279.4566015,3951,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][5475-2][9179-2][14825-2][19042-2][19049-2][19086-2];5306142.44984,[695-2][5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5155755.32603
1708,5438804.47446,9308.69148169,2727891.25,20186.1293423,3453,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][5475-2][9179-2][14825-2][19042-2][19049-2][19086-2];5306142.44984,[695-2][5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5155755.32603
1796,5438804.47446,9336.40815583,2670027.75,20256.5556489,3544,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][5475-2][9179-2][14825-2][19042-2][19049-2][19086-2];5306142.44984,[695-2][5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5155755.32603
