TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 3586856.65443,Top
91,3493496.02947,603.611207998,545449.9375,8869.94414711,4361,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][11112-2][14825-2][16922-2][19042-2][19053-2][19086-2];3493496.02947,[5314-2][9179-2][11112-2][14825-2][14976-2][16922-2][19042-2][19053-2];3217263.14896,[5314-2][5970-2][9179-2][10981-2][19046-2][19053-2][19056-2][19086-2];3139959.71791
182,4357776.39793,1152.31927466,1073134.5,11925.7374377,4424,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[695-2][9179-2][9601-2][10981-2][14825-2][19042-2][19046-2][19053-2];4357776.39793,[695-2][5314-2][9179-2][9601-2][14825-2][19042-2][19053-2][19397-2];3823815.11585,[4925-2][5314-2][9179-2][10981-2][19046-2][19053-2][19056-2][19057-2];3733841.24366
275,4357776.39793,1037.21707007,1380517.375,12928.0523339,4538,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[695-2][9179-2][9601-2][10981-2][14825-2][19042-2][19046-2][19053-2];4357776.39793,[695-2][5314-2][9179-2][14825-2][19042-2][19046-2][19053-2][19086-2];4310240.7857,[695-2][9179-2][10981-2][14825-2][19042-2][19046-2][19053-2][19086-2];4190800.09636
368,4401387.24429,1414.06125171,1553037.75,13503.3230835,4618,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[4925-2][5314-2][5475-2][9179-2][11112-2][14825-2][19042-2][19086-2];4401387.24429,[695-2][9179-2][9601-2][10981-2][14825-2][19042-2][19046-2][19053-2];4357776.39793,[695-2][5314-2][9179-2][14825-2][19042-2][19046-2][19053-2][19086-2];4310240.7857
462,4401387.24429,1545.11577218,1704953.75,14091.3961979,4612,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[4925-2][5314-2][5475-2][9179-2][11112-2][14825-2][19042-2][19086-2];4401387.24429,[695-2][9179-2][9601-2][10981-2][14825-2][19042-2][19046-2][19053-2];4357776.39793,[695-2][5314-2][9179-2][14825-2][19042-2][19046-2][19053-2][19086-2];4310240.7857
554,4401387.24429,1387.25031708,1784485.625,14634.2506615,4599,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[4925-2][5314-2][5475-2][9179-2][11112-2][14825-2][19042-2][19086-2];4401387.24429,[695-2][9179-2][9601-2][10981-2][14825-2][19042-2][19046-2][19053-2];4357776.39793,[5314-2][9179-2][9601-2][10981-2][19046-2][19048-2][19049-2][19056-2];4352334.32204
646,4401387.24429,9758.69350737,1879874,14980.4945997,4585,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[4925-2][5314-2][5475-2][9179-2][11112-2][14825-2][19042-2][19086-2];4401387.24429,[695-2][9179-2][9601-2][10981-2][14825-2][19042-2][19046-2][19053-2];4357776.39793,[5314-2][9179-2][9601-2][10981-2][19046-2][19048-2][19049-2][19056-2];4352334.32204
739,4401387.24429,2991.00487311,1955641.125,15487.3363641,4577,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[4925-2][5314-2][5475-2][9179-2][11112-2][14825-2][19042-2][19086-2];4401387.24429,[695-2][9179-2][9601-2][10981-2][14825-2][19042-2][19046-2][19053-2];4357776.39793,[5314-2][9179-2][9601-2][10981-2][19046-2][19048-2][19049-2][19056-2];4352334.32204
832,4645318.31101,2991.00487311,1999795.875,16001.8478129,4571,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[695-2][5314-2][9179-2][9601-2][14825-2][15346-2][19042-2][19053-2];4645318.31101,[5314-2][9179-2][9601-2][14825-2][19042-2][19046-2][19053-2][19086-2];4409757.4138,[4925-2][5314-2][5475-2][9179-2][11112-2][14825-2][19042-2][19086-2];4401387.24429
924,4829030.30868,1461.13566621,2044795.875,16317.0933418,4493,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[695-2][5314-2][5475-2][9179-2][14825-2][19042-2][19049-2][19086-2];4829030.30868,[695-2][5314-2][9179-2][9601-2][14825-2][15346-2][19042-2][19053-2];4645318.31101,[695-2][5314-2][9179-2][9601-2][14825-2][14831-2][19042-2][19053-2];4498088.50892
1017,4829030.30868,719.552121849,2071869.625,16589.1425374,4511,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[695-2][5314-2][5475-2][9179-2][14825-2][19042-2][19049-2][19086-2];4829030.30868,[695-2][5314-2][9179-2][9601-2][14825-2][15346-2][19042-2][19053-2];4645318.31101,[695-2][5314-2][9179-2][9601-2][14825-2][14831-2][19042-2][19053-2];4498088.50892
