4296,7582,9079,12328,15958,Requested,Created,Diff,Diff%
0,0,0,0,0,2543,2638,-95,-3
1,0,0,0,0,1929,1974,-45,-1
2,0,0,0,0,479,456,23,5
0,1,0,0,0,727,686,41,6
1,1,0,0,0,551,573,-22,-3
2,1,0,0,0,140,137,3,2
0,2,0,0,0,67,67,0,0
1,2,0,0,0,52,50,2,4
2,2,0,0,0,68,80,-12,-17
0,0,1,0,0,2094,2095,-1,0
1,0,1,0,0,1589,1517,72,5
2,0,1,0,0,406,397,9,2
0,1,1,0,0,598,577,21,4
1,1,1,0,0,454,486,-32,-6
2,1,1,0,0,119,108,11,9
0,2,1,0,0,57,58,-1,-1
1,2,1,0,0,44,54,-10,-22
2,2,1,0,0,68,69,-1,0
0,0,2,0,0,565,596,-31,-4
1,0,2,0,0,441,419,22,5
2,0,2,0,0,91,87,4,4
0,1,2,0,0,165,162,3,2
1,1,2,0,0,129,134,-5,-3
2,1,2,0,0,68,62,6,9
0,2,2,0,0,68,58,10,15
1,2,2,0,0,68,70,-2,-2
2,2,2,0,0,176,178,-2,0
0,0,0,1,0,2738,2739,-1,0
1,0,0,1,0,2077,2080,-3,0
2,0,0,1,0,532,551,-19,-3
0,1,0,1,0,782,816,-34,-3
1,1,0,1,0,594,606,-12,-1
2,1,0,1,0,155,163,-8,-4
0,2,0,1,0,75,69,6,8
1,2,0,1,0,58,44,14,24
2,2,0,1,0,68,70,-2,-2
0,0,1,1,0,2255,2269,-14,0
1,0,1,1,0,1711,1735,-24,0
2,0,1,1,0,450,433,17,4
0,1,1,1,0,644,651,-7,0
1,1,1,1,0,489,459,30,6
2,1,1,1,0,132,124,8,6
0,2,1,1,0,63,59,4,6
1,2,1,1,0,49,37,12,24
2,2,1,1,0,68,69,-1,0
0,0,2,1,0,628,623,5,1
1,0,2,1,0,489,488,1,0
2,0,2,1,0,107,127,-20,-18
0,1,2,1,0,183,185,-2,0
1,1,2,1,0,143,136,7,5
2,1,2,1,0,68,65,3,4
0,2,2,1,0,68,69,-1,0
1,2,2,1,0,68,62,6,9
2,2,2,1,0,176,169,7,4
0,0,0,2,0,971,969,2,0
1,0,0,2,0,757,726,31,4
2,0,0,2,0,157,171,-14,-8
0,1,0,2,0,284,261,23,8
1,1,0,2,0,221,228,-7,-2
2,1,0,2,0,68,69,-1,0
0,2,0,2,0,68,90,-22,-31
1,2,0,2,0,68,73,-5,-6
2,2,0,2,0,176,182,-6,-2
0,0,1,2,0,823,839,-16,-1
1,0,1,2,0,641,646,-5,0
2,0,1,2,0,141,153,-12,-8
0,1,1,2,0,240,242,-2,0
1,1,1,2,0,187,187,0,0
2,1,1,2,0,68,64,4,6
0,2,1,2,0,68,73,-5,-6
1,2,1,2,0,68,61,7,10
2,2,1,2,0,176,150,26,15
0,0,2,2,0,186,181,5,3
1,0,2,2,0,153,154,-1,0
2,0,2,2,0,176,176,0,0
0,1,2,2,0,68,57,11,16
1,1,2,2,0,68,70,-2,-2
2,1,2,2,0,176,195,-19,-10
0,2,2,2,0,176,189,-13,-6
1,2,2,2,0,176,175,1,1
2,2,2,2,0,457,498,-41,-8
0,0,0,0,1,2944,2982,-38,0
1,0,0,0,1,2234,2256,-22,0
2,0,0,0,1,572,572,0,0
0,1,0,0,1,841,808,33,4
1,1,0,0,1,638,645,-7,0
2,1,0,0,1,167,165,2,1
0,2,0,0,1,80,82,-2,-2
1,2,0,0,1,63,65,-2,-2
2,2,0,0,1,68,52,16,24
0,0,1,0,1,2425,2372,53,2
1,0,1,0,1,1839,1841,-2,0
2,0,1,0,1,485,488,-3,0
0,1,1,0,1,693,714,-21,-2
1,1,1,0,1,526,557,-31,-5
2,1,1,0,1,142,141,1,1
0,2,1,0,1,68,58,10,15
1,2,1,0,1,53,42,11,21
2,2,1,0,1,68,64,4,6
0,0,2,0,1,675,661,14,2
1,0,2,0,1,527,527,0,0
2,0,2,0,1,115,128,-13,-10
0,1,2,0,1,197,204,-7,-3
1,1,2,0,1,154,158,-4,-2
2,1,2,0,1,68,64,4,6
0,2,2,0,1,68,61,7,10
1,2,2,0,1,68,58,10,15
2,2,2,0,1,176,174,2,1
0,0,0,1,1,3171,3209,-38,0
1,0,0,1,1,2405,2388,17,1
2,0,0,1,1,635,629,6,1
0,1,0,1,1,906,860,46,5
1,1,0,1,1,687,644,43,6
2,1,0,1,1,186,183,3,2
0,2,0,1,1,89,106,-17,-18
1,2,0,1,1,70,58,12,17
2,2,0,1,1,68,72,-4,-5
0,0,1,1,1,2611,2650,-39,0
1,0,1,1,1,1981,2001,-20,0
2,0,1,1,1,538,549,-11,-1
0,1,1,1,1,746,740,6,1
1,1,1,1,1,566,568,-2,0
2,1,1,1,1,157,177,-20,-12
0,2,1,1,1,76,93,-17,-21
1,2,1,1,1,59,50,9,15
2,2,1,1,1,68,69,-1,0
0,0,2,1,1,750,772,-22,-2
1,0,2,1,1,585,558,27,5
2,0,2,1,1,136,143,-7,-4
0,1,2,1,1,219,216,3,1
1,1,2,1,1,171,158,13,8
2,1,2,1,1,68,81,-13,-18
0,2,2,1,1,68,66,2,3
1,2,2,1,1,68,62,6,9
2,2,2,1,1,176,168,8,5
0,0,0,2,1,1161,1189,-28,-1
1,0,0,2,1,905,957,-52,-5
2,0,0,2,1,200,187,13,7
0,1,0,2,1,339,354,-15,-3
1,1,0,2,1,264,268,-4,-1
2,1,0,2,1,68,79,-11,-15
0,2,0,2,1,68,63,5,7
1,2,0,2,1,68,82,-14,-20
2,2,0,2,1,176,177,-1,0
0,0,1,2,1,983,955,28,3
1,0,1,2,1,766,738,28,4
2,0,1,2,1,180,184,-4,-1
0,1,1,2,1,287,292,-5,-1
1,1,1,2,1,224,215,9,4
2,1,1,2,1,68,52,16,24
0,2,1,2,1,68,80,-12,-17
1,2,1,2,1,68,70,-2,-2
2,2,1,2,1,176,182,-6,-2
0,0,2,2,1,237,226,11,5
1,0,2,2,1,195,197,-2,0
2,0,2,2,1,176,194,-18,-9
0,1,2,2,1,73,56,17,23
1,1,2,2,1,68,64,4,6
2,1,2,2,1,176,161,15,9
0,2,2,2,1,176,181,-5,-2
1,2,2,2,1,176,162,14,8
2,2,2,2,1,457,448,9,2
0,0,0,0,2,1125,1063,62,6
1,0,0,0,2,877,881,-4,0
2,0,0,0,2,183,169,14,8
0,1,0,0,2,329,314,15,5
1,1,0,0,2,256,268,-12,-4
2,1,0,0,2,68,64,4,6
0,2,0,0,2,68,67,1,1
1,2,0,0,2,68,65,3,4
2,2,0,0,2,176,172,4,2
0,0,1,0,2,953,964,-11,0
1,0,1,0,2,743,731,12,2
2,0,1,0,2,164,170,-6,-3
0,1,1,0,2,278,267,11,4
1,1,1,0,2,217,221,-4,-1
2,1,1,0,2,68,89,-21,-30
0,2,1,0,2,68,65,3,4
1,2,1,0,2,68,78,-10,-14
2,2,1,0,2,176,174,2,1
0,0,2,0,2,216,195,21,10
1,0,2,0,2,178,191,-13,-6
2,0,2,0,2,176,178,-2,0
0,1,2,0,2,68,66,2,3
1,1,2,0,2,68,56,12,18
2,1,2,0,2,176,166,10,6
0,2,2,0,2,176,191,-15,-8
1,2,2,0,2,176,147,29,16
2,2,2,0,2,457,464,-7,-1
0,0,0,1,2,1249,1208,41,3
