85,1362,3596,5645,6814,Requested,Created,Diff,Diff%
0,0,0,0,0,7245,7270,-25,0
1,0,0,0,0,2223,2269,-46,-1
2,0,0,0,0,183,176,7,4
0,1,0,0,0,1074,1082,-8,0
1,1,0,0,0,329,316,13,4
2,1,0,0,0,27,26,1,4
0,2,0,0,0,43,54,-11,-25
1,2,0,0,0,13,17,-4,-30
2,2,0,0,0,17,21,-4,-23
0,0,1,0,0,9342,9311,31,0
1,0,1,0,0,2866,2947,-81,-2
2,0,1,0,0,236,259,-23,-9
0,1,1,0,0,1385,1403,-18,0
1,1,1,0,0,425,444,-19,-3
2,1,1,0,0,35,29,6,17
0,2,1,0,0,55,58,-3,-4
1,2,1,0,0,17,18,-1,-5
2,2,1,0,0,17,13,4,24
0,0,2,0,0,3229,3218,11,0
1,0,2,0,0,991,976,15,2
2,0,2,0,0,171,181,-10,-5
0,1,2,0,0,479,450,29,6
1,1,2,0,0,147,140,7,5
2,1,2,0,0,25,22,3,12
0,2,2,0,0,40,41,-1,-2
1,2,2,0,0,17,16,1,6
2,2,2,0,0,22,23,-1,-4
0,0,0,1,0,3805,3815,-10,0
1,0,0,1,0,1168,1202,-34,-2
2,0,0,1,0,96,91,5,5
0,1,0,1,0,564,568,-4,0
1,1,0,1,0,173,176,-3,-1
2,1,0,1,0,14,21,-7,-49
0,2,0,1,0,22,18,4,18
1,2,0,1,0,13,14,-1,-7
2,2,0,1,0,17,17,0,0
0,0,1,1,0,4907,4919,-12,0
1,0,1,1,0,1505,1549,-44,-2
2,0,1,1,0,124,125,-1,0
0,1,1,1,0,727,723,4,1
1,1,1,1,0,223,196,27,12
2,1,1,1,0,18,20,-2,-10
0,2,1,1,0,29,36,-7,-23
1,2,1,1,0,13,12,1,8
2,2,1,1,0,17,17,0,0
0,0,2,1,0,1696,1740,-44,-2
1,0,2,1,0,520,508,12,2
2,0,2,1,0,90,88,2,2
0,1,2,1,0,251,270,-19,-7
1,1,2,1,0,77,64,13,17
2,1,2,1,0,17,18,-1,-5
0,2,2,1,0,21,16,5,24
1,2,2,1,0,17,24,-7,-40
2,2,2,1,0,22,14,8,36
0,0,0,2,0,536,557,-21,-3
1,0,0,2,0,164,187,-23,-13
2,0,0,2,0,28,29,-1,-3
0,1,0,2,0,79,74,5,6
1,1,0,2,0,24,22,2,8
2,1,0,2,0,17,18,-1,-5
0,2,0,2,0,17,15,2,12
1,2,0,2,0,17,12,5,29
2,2,0,2,0,22,28,-6,-26
0,0,1,2,0,691,657,34,5
1,0,1,2,0,212,213,-1,0
2,0,1,2,0,37,41,-4,-10
0,1,1,2,0,102,99,3,3
1,1,1,2,0,31,31,0,0
2,1,1,2,0,17,13,4,24
0,2,1,2,0,17,12,5,29
1,2,1,2,0,17,32,-15,-87
2,2,1,2,0,22,26,-4,-17
0,0,2,2,0,501,526,-25,-4
1,0,2,2,0,154,161,-7,-4
2,0,2,2,0,22,17,5,23
0,1,2,2,0,74,77,-3,-3
1,1,2,2,0,23,27,-4,-16
2,1,2,2,0,22,12,10,45
0,2,2,2,0,22,14,8,36
1,2,2,2,0,22,26,-4,-17
2,2,2,2,0,29,30,-1,-2
0,0,0,0,1,5719,5719,0,0
1,0,0,0,1,1755,1768,-13,0
2,0,0,0,1,144,145,-1,0
0,1,0,0,1,848,892,-44,-4
1,1,0,0,1,260,251,9,3
2,1,0,0,1,21,16,5,24
0,2,0,0,1,34,43,-9,-25
1,2,0,0,1,13,12,1,8
2,2,0,0,1,17,18,-1,-5
0,0,1,0,1,7375,7476,-101,0
1,0,1,0,1,2263,2266,-3,0
2,0,1,0,1,186,179,7,4
0,1,1,0,1,1093,1054,39,4
1,1,1,0,1,335,315,20,6
2,1,1,0,1,28,24,4,14
0,2,1,0,1,43,52,-9,-20
1,2,1,0,1,13,14,-1,-7
2,2,1,0,1,17,14,3,18
0,0,2,0,1,2549,2567,-18,0
1,0,2,0,1,782,734,48,6
2,0,2,0,1,135,137,-2,0
0,1,2,0,1,378,346,32,8
1,1,2,0,1,116,107,9,8
2,1,2,0,1,20,20,0,0
0,2,2,0,1,31,35,-4,-12
1,2,2,0,1,17,19,-2,-11
2,2,2,0,1,22,21,1,5
0,0,0,1,1,3004,2917,87,3
1,0,0,1,1,922,914,8,1
2,0,0,1,1,76,70,6,8
0,1,0,1,1,445,446,-1,0
1,1,0,1,1,137,134,3,2
2,1,0,1,1,13,17,-4,-30
0,2,0,1,1,18,18,0,0
1,2,0,1,1,13,13,0,0
2,2,0,1,1,17,11,6,35
0,0,1,1,1,3874,3890,-16,0
1,0,1,1,1,1188,1179,9,1
2,0,1,1,1,98,91,7,7
0,1,1,1,1,574,595,-21,-3
1,1,1,1,1,176,183,-7,-3
2,1,1,1,1,14,13,1,7
0,2,1,1,1,23,17,6,26
1,2,1,1,1,13,21,-8,-61
2,2,1,1,1,17,16,1,6
0,0,2,1,1,1339,1322,17,1
1,0,2,1,1,411,416,-5,0
2,0,2,1,1,71,62,9,13
0,1,2,1,1,198,205,-7,-3
1,1,2,1,1,61,60,1,2
2,1,2,1,1,17,26,-9,-52
0,2,2,1,1,17,18,-1,-5
1,2,2,1,1,17,10,7,41
2,2,2,1,1,22,23,-1,-4
0,0,0,2,1,423,473,-50,-11
1,0,0,2,1,130,130,0,0
2,0,0,2,1,22,26,-4,-17
0,1,0,2,1,63,58,5,8
1,1,0,2,1,19,15,4,21
2,1,0,2,1,17,15,2,12
0,2,0,2,1,17,15,2,12
1,2,0,2,1,17,12,5,29
2,2,0,2,1,22,27,-5,-22
0,0,1,2,1,545,549,-4,0
1,0,1,2,1,167,160,7,4
2,0,1,2,1,29,28,1,3
0,1,1,2,1,81,82,-1,0
1,1,1,2,1,25,28,-3,-11
2,1,1,2,1,17,15,2,12
0,2,1,2,1,17,16,1,6
1,2,1,2,1,17,17,0,0
2,2,1,2,1,22,18,4,18
0,0,2,2,1,396,359,37,9
1,0,2,2,1,121,115,6,5
2,0,2,2,1,22,13,9,41
0,1,2,2,1,59,57,2,3
1,1,2,2,1,18,16,2,11
2,1,2,2,1,22,12,10,45
0,2,2,2,1,22,20,2,9
1,2,2,2,1,22,23,-1,-4
2,2,2,2,1,29,29,0,0
0,0,0,0,2,1210,1160,50,4
1,0,0,0,2,371,357,14,4
2,0,0,0,2,64,73,-9,-13
0,1,0,0,2,179,176,3,2
1,1,0,0,2,55,60,-5,-8
2,1,0,0,2,17,23,-6,-34
0,2,0,0,2,17,12,5,29
1,2,0,0,2,17,20,-3,-17
2,2,0,0,2,22,22,0,0
0,0,1,0,2,1560,1556,4,0
1,0,1,0,2,479,464,15,3
2,0,1,0,2,83,89,-6,-6
0,1,1,0,2,231,249,-18,-7
1,1,1,0,2,71,72,-1,0
2,1,1,0,2,17,23,-6,-34
0,2,1,0,2,19,26,-7,-36
1,2,1,0,2,17,21,-4,-23
2,2,1,0,2,22,23,-1,-4
0,0,2,0,2,1132,1102,30,3
1,0,2,0,2,347,315,32,9
2,0,2,0,2,40,39,1,3
0,1,2,0,2,168,155,13,8
1,1,2,0,2,51,56,-5,-9
2,1,2,0,2,22,25,-3,-13
0,2,2,0,2,22,15,7,32
1,2,2,0,2,22,23,-1,-4
2,2,2,0,2,29,18,11,38
0,0,0,1,2,636,631,5,1
1,0,0,1,2,195,180,15,8
2,0,0,1,2,34,34,0,0
0,1,0,1,2,94,84,10,11
1,1,0,1,2,29,34,-5,-16
2,1,0,1,2,17,15,2,12
0,2,0,1,2,17,21,-4,-23
1,2,0,1,2,17,19,-2,-11
2,2,0,1,2,22,32,-10,-44
0,0,1,1,2,820,814,6,1
1,0,1,1,2,251,266,-15,-5
2,0,1,1,2,43,50,-7,-15
0,1,1,1,2,121,111,10,8
1,1,1,1,2,37,39,-2,-4
2,1,1,1,2,17,10,7,41
0,2,1,1,2,17,21,-4,-23
1,2,1,1,2,17,19,-2,-11
2,2,1,1,2,22,29,-7,-31
0,0,2,1,2,594,560,34,6
1,0,2,1,2,182,168,14,8
2,0,2,1,2,22,25,-3,-13
0,1,2,1,2,88,84,4,5
1,1,2,1,2,27,21,6,22
2,1,2,1,2,22,23,-1,-4
0,2,2,1,2,22,15,7,32
1,2,2,1,2,22,33,-11,-49
2,2,2,1,2,29,26,3,10
0,0,0,2,2,188,165,23,12
1,0,0,2,2,58,44,14,24
2,0,0,2,2,22,30,-8,-35
0,1,0,2,2,28,25,3,11
1,1,0,2,2,17,17,0,0
2,1,0,2,2,22,29,-7,-31
0,2,0,2,2,22,16,6,27
1,2,0,2,2,22,18,4,18
2,2,0,2,2,29,30,-1,-2
0,0,1,2,2,242,263,-21,-8
1,0,1,2,2,74,69,5,7
2,0,1,2,2,22,23,-1,-4
0,1,1,2,2,36,42,-6,-16
1,1,1,2,2,17,14,3,18
2,1,1,2,2,22,18,4,18
0,2,1,2,2,22,24,-2,-8
1,2,1,2,2,22,17,5,23
2,2,1,2,2,29,19,10,34
0,0,2,2,2,117,126,-9,-7
1,0,2,2,2,36,34,2,6
2,0,2,2,2,29,26,3,10
0,1,2,2,2,22,17,5,23
1,1,2,2,2,22,24,-2,-8
2,1,2,2,2,29,38,-9,-30
0,2,2,2,2,29,27,2,7
1,2,2,2,2,29,23,6,21
2,2,2,2,2,37,29,8,22

NUM,SUM,MAX,MIN
230,9,87,-101
207,9,45,-87
